	chromosome	start	end	cluster	left_exon_count	left_genes	right_exon_count	right_genes	genes	n_genes	genes_cluster	n_genes_cluster	annotated	gene_id	original_cluster	n_start	strand	cluster_type	psi_a	psi_b	delta_psi	lfc_psi	abs_delta_psi	abs_lfc_psi
0	chr1	10035164	10037662	19	7	['ENSMUSG00000025917']	1	['ENSMUSG00000025917']	['ENSMUSG00000025917']	1	['ENSMUSG00000025917']	1	True	ENSMUSG00000025917	19	1	-	shared_acceptor	0.003415095570486503	0.04652998283129854	-0.043114887260812036	-3.768162405720007	0.043114887260812036	3.768162405720007
1	chr1	10035164	10037670	19	7	['ENSMUSG00000025917']	4	['ENSMUSG00000025917']	['ENSMUSG00000025917']	1	['ENSMUSG00000025917']	1	True	ENSMUSG00000025917	19	1	-	shared_acceptor	0.9802490927168886	0.9033769593909041	0.07687213332598453	0.11782028297089947	0.07687213332598453	0.11782028297089947
2	chr1	10035164	10037919	19	7	['ENSMUSG00000025917']	3	['ENSMUSG00000025917']	['ENSMUSG00000025917']	1	['ENSMUSG00000025917']	1	True	ENSMUSG00000025917	19	1	-	shared_acceptor	0.016335811712624913	0.05009305777779747	-0.03375724606517255	-1.6165724768343015	0.03375724606517255	1.6165724768343015
3	chr1	13572075	13573858	28	2	['ENSMUSG00000025935']	0	[]	['ENSMUSG00000025935']	1	['ENSMUSG00000025935']	1	False	ENSMUSG00000025935	28	1	-	shared_acceptor	0.0030795597367260378	0.10368555886634259	-0.10060599912961656	-5.073346593880647	0.10060599912961656	5.073346593880647
4	chr1	13572075	13576368	28	2	['ENSMUSG00000025935']	2	['ENSMUSG00000025935']	['ENSMUSG00000025935']	1	['ENSMUSG00000025935']	1	True	ENSMUSG00000025935	28	1	-	shared_acceptor	0.9969204402632739	0.8963144411336573	0.10060599912961654	0.15347343297204818	0.10060599912961654	0.15347343297204818
5	chr1	13579567	13579690	29	5	['ENSMUSG00000025935']	3	['ENSMUSG00000025935']	['ENSMUSG00000025935']	1	['ENSMUSG00000025935']	1	True	ENSMUSG00000025935	29	1	-	shared_acceptor	0.9049244537309752	0.9734699945464693	-0.06854554081549413	-0.1053391550727614	0.06854554081549413	0.1053391550727614
6	chr1	13579567	13581023	29	5	['ENSMUSG00000025935']	4	['ENSMUSG00000025935']	['ENSMUSG00000025935']	1	['ENSMUSG00000025935']	1	True	ENSMUSG00000025935	29	1	-	shared_acceptor	0.09507554626902481	0.026530005453530733	0.06854554081549408	1.8414493117394923	0.06854554081549408	1.8414493117394923
7	chr1	16643479	16645686	40	14	['ENSMUSG00000079658']	14	['ENSMUSG00000079658']	['ENSMUSG00000079658']	1	['ENSMUSG00000079658']	1	True	ENSMUSG00000079658	40	1	-	shared_acceptor	0.9679215819399667	0.9828223207148176	-0.014900738774850875	-0.0220404533835034	0.014900738774850875	0.0220404533835034
8	chr1	16643479	16647955	40	14	['ENSMUSG00000079658']	23	['ENSMUSG00000079658']	['ENSMUSG00000079658']	1	['ENSMUSG00000079658']	1	False	ENSMUSG00000079658	40	1	-	shared_acceptor	0.032078418060033274	0.017177679285182504	0.01490073877485077	0.9010678176808264	0.01490073877485077	0.9010678176808264
9	chr1	16648008	16656296	42	10	['ENSMUSG00000079658']	3	['ENSMUSG00000079658']	['ENSMUSG00000079658']	1	['ENSMUSG00000079658']	1	True	ENSMUSG00000079658	42	1	-	shared_acceptor	0.01632449803245578	0.02314456776886698	-0.006820069736411197	-0.503634963581848	0.006820069736411197	0.503634963581848
