cluster	gene_id	gene_name	p_value	p_value_adj	max_abs_delta_psi	Annotated	Region	diff_exp_rank	coordinates
570	ENSMUSG00000090841	Myl6	0.0	0.0	0.572	True	CDS	4023.0	['chr10:128491034-128491290' 'chr10:128491034-128491720' 'chr10:128491034-128492059']
2703	ENSMUSG00000026797	Stxbp1	0.0	0.0	0.608	True	CDS	5388.0	['chr2:32789638-32794588' 'chr2:32789638-32796016']
4554	ENSMUSG00000030695	Aldoa	0.0	0.0	0.136	True	CDS	21657.0	['chr7:126797777-126797974' 'chr7:126797777-126799045' 'chr7:126797777-126800002' 'chr7:126797777-126800288']
8649	ENSMUSG00000028059	Arhgef2	0.0	0.0	0.872	True	CDS	6127.0	['chr3:88616655-88629787' 'chr3:88621322-88629787' 'chr3:88621600-88629787' 'chr3:88622598-88629787' 'chr3:88629564-88629787' 'chr3:88629648-88629787' 'chr3:88629691-88629787']
2695	ENSMUSG00000026825	Dnm1	1.0383981219629817e-288	2.3000518401480046e-285	0.363	False	CDS	12317.0	['chr2:32309065-32309893' 'chr2:32309065-32310447' 'chr2:32309065-32310451' 'chr2:32309065-32312123' 'chr2:32309065-32312127']
643	ENSMUSG00000020436	Gabrg2	4.6513738897190064e-268	8.585660971439664e-265	0.384	True	CDS	4325.0	['chr11:41912592-41913970' 'chr11:41912592-41916284' 'chr11:41912592-41967534']
6930	ENSMUSG00000025290	Rps24	6.880417647136252e-268	1.0885803634576286e-264	0.314	True	CDS	16877.0	['chr14:24493494-24495430' 'chr14:24494070-24495430']
10712	ENSMUSG00000032336	Nptn	1.915126763492039e-266	2.6512536132092914e-263	0.391	True	CDS	23137.0	['chr9:58582527-58623687' 'chr9:58582707-58623687' 'chr9:58619011-58623687' 'chr9:58621578-58623687']
5119	ENSMUSG00000033419	Snap91	2.2950122989240905e-266	2.824140134509367e-263	0.766	True	CDS	5538.0	['chr9:86792737-86793357' 'chr9:86792737-86798538']
7699	ENSMUSG00000003279	Dlgap1	2.551629528487205e-260	2.8259297027995795e-257	0.468	False	CDS	22917.0	['chr17:70516997-70593167' 'chr17:70521801-70593167' 'chr17:70522263-70593167' 'chr17:70522269-70593167' 'chr17:70522349-70593167' 'chr17:70561872-70593167' 'chr17:70583182-70593167']
5902	ENSMUSG00000058589	Anks1b	1.4134741084992497e-232	1.4231114319662899e-229	0.678	False	CDS	1798.0	['chr10:90680920-90895099' 'chr10:90829174-90895099' 'chr10:90829681-90895099' 'chr10:90830098-90895099' 'chr10:90830998-90895099']
6746	ENSMUSG00000054728	Phactr1	2.6808959277227485e-232	2.47424353329412e-229	0.616	True	CDS	763.0	['chr13:42709851-42956617' 'chr13:42866488-42956617' 'chr13:42866956-42956617' 'chr13:42916868-42956617']
5904	ENSMUSG00000058589	Anks1b	1.4634589525536566e-221	1.2467544538101347e-218	0.449	True	CDS	1798.0	['chr10:90895207-90921296' 'chr10:90897427-90921296' 'chr10:90914768-90921296']
9476	ENSMUSG00000060371	Caln1	4.610039745538519e-212	3.646870727274222e-209	0.608	False	CDS	20076.0	['chr5:130414947-130506064' 'chr5:130415002-130506064' 'chr5:130447892-130506064' 'chr5:130448225-130506064' 'chr5:130449459-130506064' 'chr5:130449685-130506064']
8879	ENSMUSG00000028478	Clta	2.6093959752184156e-210	1.9266040283695967e-207	0.254	True	CDS	14760.0	['chr4:44025561-44032401' 'chr4:44030269-44032401' 'chr4:44031436-44032401']
