cluster	gene_id	gene_name	p_value_adj	max_abs_delta_psi	Annotated	Region	diff_exp_rank	p_value	chromosome	start	end
10654	ENSMUSG00000052040	Klf13	6.571778536233157e-158	0.61	True	CDS		4.694127525880826e-161	chr7	[63891798]	[63936230 63937663 63937967]
24045	ENSMUSG00000030876	Mettl9	2.441632932937494e-153	0.621	False	5' UTR		3.4880470470535623e-156	chr7	[121032854 121034976]	[121047838]
533	ENSMUSG00000026395	Ptprc	8.465241537057319e-126	0.554	True	CDS		1.8139803293694256e-128	chr1	[138117026]	[138117754 138120020 138126303]
18692	ENSMUSG00000062210	Tnfaip8	2.6935435966021132e-108	0.543	True	CDS		7.69583884743461e-111	chr18	[49979627 50031364 50053620]	[50090200]
21696	ENSMUSG00000029063	Nadk	5.771046593487014e-91	0.663	True	5' UTR		2.0610880691025046e-93	chr4	[155562456 155563980]	[155576993]
14036	ENSMUSG00000019920	Lims1	9.185205134343973e-88	0.567	False	CDS		3.936516486147418e-90	chr10	[58323688 58352198 58371700]	[58399021]
10079	ENSMUSG00000097354	2310001H17Rik	7.205556863014932e-73	0.469	False	Non-coding		3.6027784315074663e-75	chr6	[129233154]	[129233885 129233896 129237739 129237996]
22882	ENSMUSG00000056737	Capg	3.075962589528344e-69	0.372	True	5' UTR		1.7576929083019116e-71	chr6	[72544467 72549502 72549869]	[72555273]
8869	ENSMUSG00000039753	Fbxl5	7.748199352219857e-59	0.397	False	CDS		5.53442810872847e-61	chr5	[43773660]	[43781965 43785778]
16075	ENSMUSG00000036006	Ripor2	8.317169551612433e-59	0.562	True	CDS		6.53491893340977e-61	chr13	[24501688 24614748 24638937]	[24669960]
16502	ENSMUSG00000025290	Rps24	1.2540002443038062e-51	0.196	True	CDS		1.0748573522604053e-53	chr14	[24493494 24495450]	[24495775]
24209	ENSMUSG00000041836	Ptpre	2.5870391589677526e-49	0.427	True	CDS		2.4022506476129137e-51	chr7	[135651847 135652015]	[135652090]
1873	ENSMUSG00000078812	Eif5a	3.1838334191275125e-49	0.093	True	5' UTR		3.183833419127512e-51	chr11	[69919337]	[69919449 69920341 69920801 69921024 69921163 69921187]
8697	ENSMUSG00000039968	Rsbn1l	6.7171975346877535e-44	0.381	True	CDS		7.196997358594023e-46	chr5	[20927731]	[20945280 20951257]
1844	ENSMUSG00000018736	Ndel1	8.853505829012857e-40	0.394	True	5' UTR		1.0118292376014694e-41	chr11	[68845425]	[68852942 68871781]
