	chromosome	start	end	cluster	left_exon_count	left_genes	right_exon_count	right_genes	genes	n_genes	genes_cluster	n_genes_cluster	annotated	gene_id	original_cluster	n_start	strand	cluster_type	psi_a	psi_b	delta_psi	lfc_psi	abs_delta_psi	abs_lfc_psi
0	chr1	16648008	16656822	42	10	['ENSMUSG00000079658']	5	['ENSMUSG00000079658']	['ENSMUSG00000079658']	1	['ENSMUSG00000079658']	1	True	ENSMUSG00000079658	42	1	-	shared_acceptor	0.7580007509164444	0.610647273156039	0.14735347776040542	0.31185999728719677	0.14735347776040542	0.31185999728719677
1	chr1	16648008	16656862	42	10	['ENSMUSG00000079658']	0	[]	['ENSMUSG00000079658']	1	['ENSMUSG00000079658']	1	False	ENSMUSG00000079658	42	1	-	shared_acceptor	0.022521144506353168	0.09673727074695068	-0.07421612624059751	-2.102791640514087	0.07421612624059751	2.102791640514087
2	chr1	16648008	16656992	42	10	['ENSMUSG00000079658']	3	['ENSMUSG00000079658']	['ENSMUSG00000079658']	1	['ENSMUSG00000079658']	1	True	ENSMUSG00000079658	42	1	-	shared_acceptor	0.2194781045772025	0.29261545609701034	-0.07313735151980785	-0.41492895193602264	0.07313735151980785	0.41492895193602264
3	chr1	120120013	120120121	429	9	['ENSMUSG00000026385']	1	['ENSMUSG00000026385']	['ENSMUSG00000026385']	1	['ENSMUSG00000026385']	1	True	ENSMUSG00000026385	429	1	-	shared_acceptor	0.00034125171771047334	0.009832598548955625	-0.009491346831245152	-4.848660446928672	0.009491346831245152	4.848660446928672
4	chr1	120120013	120120945	429	9	['ENSMUSG00000026385']	6	['ENSMUSG00000026385']	['ENSMUSG00000026385']	1	['ENSMUSG00000026385']	1	True	ENSMUSG00000026385	429	1	-	shared_acceptor	0.9993174966329117	0.9881357423180579	0.011181754314853798	0.016233872959589474	0.011181754314853798	0.016233872959589474
5	chr1	120120013	120120956	429	9	['ENSMUSG00000026385']	0	[]	['ENSMUSG00000026385']	1	['ENSMUSG00000026385']	1	False	ENSMUSG00000026385	429	1	-	shared_acceptor	0.0003412516493778042	0.002031659132986406	-0.0016904074836086018	-2.5737469287057397	0.0016904074836086018	2.5737469287057397
6	chr1	180228962	180229381	758	13	['ENSMUSG00000010609']	1	['ENSMUSG00000010609']	['ENSMUSG00000010609']	1	['ENSMUSG00000010609']	1	True	ENSMUSG00000010609	758	1	-	shared_acceptor	0.004841699479205471	0.044076233677762526	-0.039234534198557054	-3.186415245191652	0.039234534198557054	3.186415245191652
7	chr1	180228962	180229386	758	13	['ENSMUSG00000010609']	12	['ENSMUSG00000010609']	['ENSMUSG00000010609']	1	['ENSMUSG00000010609']	1	True	ENSMUSG00000010609	758	1	-	shared_acceptor	0.9951583005207946	0.9559237663222374	0.03923453419855716	0.058030464612395395	0.03923453419855716	0.058030464612395395
8	chr1	180229488	180229842	760	11	['ENSMUSG00000010609']	11	['ENSMUSG00000010609']	['ENSMUSG00000010609']	1	['ENSMUSG00000010609']	1	True	ENSMUSG00000010609	760	1	-	shared_acceptor	0.990359802669923	0.6784664859503695	0.31189331671955345	0.5456752051450048	0.31189331671955345	0.5456752051450048
9	chr1	180229488	180229970	760	11	['ENSMUSG00000010609']	2	['ENSMUSG00000010609']	['ENSMUSG00000010609']	1	['ENSMUSG00000010609']	1	True	ENSMUSG00000010609	760	1	-	shared_acceptor	0.00964019733007703	0.32153351404963054	-0.3118933167195535	-5.059762486833665	0.3118933167195535	5.059762486833665
