	chromosome	start	end	cluster	left_exon_count	left_genes	right_exon_count	right_genes	genes	n_genes	genes_cluster	n_genes_cluster	annotated	gene_id	original_cluster	n_start	strand	cluster_type	psi_a	psi_b	delta_psi	lfc_psi	abs_delta_psi	abs_lfc_psi
0	chr10	23786005	23786625	0	9	['ENSMUSG00000061983']	3	['ENSMUSG00000061983']	['ENSMUSG00000061983']	1	['ENSMUSG00000061983']	1	True	ENSMUSG00000061983	896	1	-	shared_acceptor	0.0033065292790674093	0.008650436896657359	-0.00534390761758995	-1.387455052833543	0.00534390761758995	1.387455052833543
1	chr10	23786005	23786764	0	9	['ENSMUSG00000061983']	8	['ENSMUSG00000061983']	['ENSMUSG00000061983']	1	['ENSMUSG00000061983']	1	True	ENSMUSG00000061983	896	1	-	shared_acceptor	0.9966934707209325	0.9913495631033428	0.005343907617589738	0.0077560167950017755	0.005343907617589738	0.0077560167950017755
2	chr10	128491034	128491290	1	11	['ENSMUSG00000090841']	1	['ENSMUSG00000090841']	['ENSMUSG00000090841']	1	['ENSMUSG00000090841']	1	True	ENSMUSG00000090841	1417	1	-	shared_acceptor	0.00560388457575937	0.01337883932532383	-0.007774954749564461	-1.2554536657601245	0.007774954749564461	1.2554536657601245
3	chr10	128491034	128491720	1	11	['ENSMUSG00000090841']	1	['ENSMUSG00000090841']	['ENSMUSG00000090841']	1	['ENSMUSG00000090841']	1	True	ENSMUSG00000090841	1417	1	-	shared_acceptor	0.4178373854071362	0.21301384720414016	0.20482353820299606	0.9719943604423209	0.20482353820299606	0.9719943604423209
4	chr10	128491034	128492059	1	11	['ENSMUSG00000090841']	14	['ENSMUSG00000090841']	['ENSMUSG00000090841']	1	['ENSMUSG00000090841']	1	True	ENSMUSG00000090841	1417	1	-	shared_acceptor	0.5765587300171044	0.773607313470536	-0.19704858345343157	-0.4241338604382808	0.19704858345343157	0.4241338604382808
5	chr10	128492746	128492939	2	15	['ENSMUSG00000090841']	3	['ENSMUSG00000090841']	['ENSMUSG00000090841']	1	['ENSMUSG00000090841']	1	True	ENSMUSG00000090841	1420	1	-	shared_acceptor	0.01607101401938641	0.02505802458602086	-0.008987010566634448	-0.6408116937083275	0.008987010566634448	0.6408116937083275
6	chr10	128492746	128493539	2	15	['ENSMUSG00000090841']	21	['ENSMUSG00000090841']	['ENSMUSG00000090841']	1	['ENSMUSG00000090841']	1	True	ENSMUSG00000090841	1420	1	-	shared_acceptor	0.9839289859806136	0.9749419754139792	0.008987010566634424	0.013237836272090155	0.008987010566634424	0.013237836272090155
7	chr11	4702221	4703904	3	4	['ENSMUSG00000059534']	2	['ENSMUSG00000059534']	['ENSMUSG00000059534']	1	['ENSMUSG00000059534']	1	True	ENSMUSG00000059534	1472	1	-	shared_acceptor	0.04753341812325809	0.06367756189655825	-0.01614414377330016	-0.42184294152825697	0.01614414377330016	0.42184294152825697
8	chr11	4702221	4704157	3	4	['ENSMUSG00000059534']	3	['ENSMUSG00000059534']	['ENSMUSG00000059534']	1	['ENSMUSG00000059534']	1	True	ENSMUSG00000059534	1472	1	-	shared_acceptor	0.9524665818767419	0.9363224381034416	0.016144143773300312	0.02466304400195081	0.016144143773300312	0.02466304400195081
9	chr11	6429226	6433724	4	4	['ENSMUSG00000041126']	2	['ENSMUSG00000041126']	['ENSMUSG00000041126']	1	['ENSMUSG00000041126']	1	True	ENSMUSG00000041126	1517	1	-	shared_acceptor	0.8585965192671553	0.91292986272824	-0.05433334346108465	-0.08852370291137082	0.05433334346108465	0.08852370291137082
10	chr11	6429226	6439376	4	4	['ENSMUSG00000041126']	4	['ENSMUSG00000041126']	['ENSMUSG00000041126']	1	['ENSMUSG00000041126']	1	True	ENSMUSG00000041126	1517	1	-	shared_acceptor	0.14140348073284473	0.08707013727175995	0.054333343461084774	0.6995677240769496	0.054333343461084774	0.6995677240769496
11	chr11	16506473	16508079	5	7	['ENSMUSG00000078974']	1	['ENSMUSG00000078974']	['ENSMUSG00000078974']	1	['ENSMUSG00000078974']	1	True	ENSMUSG00000078974	1539	1	-	shared_acceptor	0.02117687928680532	0.0490680443919231	-0.02789116510511778	-1.2122937317432942	0.02789116510511778	1.2122937317432942
12	chr11	16506473	16508100	5	7	['ENSMUSG00000078974']	1	['ENSMUSG00000078974']	['ENSMUSG00000078974']	1	['ENSMUSG00000078974']	1	True	ENSMUSG00000078974	1539	1	-	shared_acceptor	0.014305289045407416	0.024648128450628293	-0.010342839405220877	-0.7849294152957027	0.010342839405220877	0.7849294152957027
13	chr11	16506473	16508104	5	7	['ENSMUSG00000078974']	4	['ENSMUSG00000078974']	['ENSMUSG00000078974']	1	['ENSMUSG00000078974']	1	True	ENSMUSG00000078974	1539	1	-	shared_acceptor	0.9645178316677873	0.9262838271574486	0.03823400451033865	0.0583535860300369	0.03823400451033865	0.0583535860300369
14	chr11	50200948	50202399	6	6	['ENSMUSG00000015837']	4	['ENSMUSG00000015837']	['ENSMUSG00000015837']	1	['ENSMUSG00000015837']	1	True	ENSMUSG00000015837	1652	1	-	shared_acceptor	0.8988929811026308	0.8452111333996006	0.053681847703030194	0.08883759283546494	0.053681847703030194	0.08883759283546494
