cluster	gene_id	gene_name	p_value	p_value_adj	max_abs_delta_psi	Annotated	Region	diff_exp_rank	coordinates
9593	ENSMUSG00000027273	Snap25	0.0	0.0	0.399	True	CDS	3590.0	['chr2:136769861-136773895' 'chr2:136770175-136773895']
8376	ENSMUSG00000008658	Rbfox1	0.0	0.0	0.571	False	5' UTR	1195.0	['chr16:5763912-6173605' 'chr16:5885865-6173605' 'chr16:5886254-6173605' 'chr16:6075968-6173605' 'chr16:6158207-6173605']
2561	ENSMUSG00000024109	Nrxn1	2.0108348894732652e-240	8.481701563798231e-237	0.425	True	CDS	1528.0	['chr17:90059564-90087072' 'chr17:90059564-90088165' 'chr17:90059564-90162114']
8377	ENSMUSG00000008658	Rbfox1	2.1577384664982188e-222	6.826005638767115e-219	0.447	False	5' UTR	1195.0	['chr16:6173668-6487819' 'chr16:6348855-6487819' 'chr16:6349228-6487819' 'chr16:6349232-6487819' 'chr16:6365605-6487819']
1357	ENSMUSG00000057531	Dtnbp1	1.2113725659190768e-192	3.065741689828e-189	0.321	False	CDS	1903.0	['chr13:44931152-44946172' 'chr13:44931152-44946865' 'chr13:44931152-44946869' 'chr13:44931152-44948505' 'chr13:44931152-44953172' 'chr13:44931152-44970046']
2332	ENSMUSG00000002504	Slc9a3r2	2.9161454527908364e-191	6.150150759935875e-188	0.259	False	CDS	184.0	['chr17:24647728-24649757' 'chr17:24647728-24649938' 'chr17:24647728-24651350' 'chr17:24647728-24651498']
7052	ENSMUSG00000033066	Gas7	1.0333842174369028e-179	1.868063412492367e-176	0.513	True	CDS	3495.0	['chr11:67455775-67603108' 'chr11:67571351-67603108' 'chr11:67596700-67603108']
9015	ENSMUSG00000024544	Ldlrad4	1.3031524804073893e-178	2.061261435884388e-175	0.558	False	CDS	1342.0	['chr18:68106692-68235655' 'chr18:68227369-68235655' 'chr18:68228145-68235655' 'chr18:68228965-68235655']
722	ENSMUSG00000020436	Gabrg2	2.6310677864697713e-171	3.699281307776499e-168	0.359	True	CDS	5991.0	['chr11:41912592-41913970' 'chr11:41912592-41916284' 'chr11:41912592-41967534']
4533	ENSMUSG00000066551	Hmgb1	1.9433774367524235e-150	2.4591498084665164e-147	0.169	False	CDS	23003.0	['chr5:149050752-149051279' 'chr5:149050752-149052338' 'chr5:149050752-149052445' 'chr5:149050752-149052900' 'chr5:149050752-149091645' 'chr5:149050752-149181999' 'chr5:149050752-149184448']
8061	ENSMUSG00000022037	Clu	3.1562863422213652e-146	3.630877034042651e-143	0.108	True	5' UTR	134.0	['chr14:65968689-65971732' 'chr14:65969900-65971732' 'chr14:65970945-65971732' 'chr14:65971176-65971732' 'chr14:65971545-65971732']
4281	ENSMUSG00000054814	Usp46	6.752864577982304e-110	7.12089569748234e-107	0.091	True	CDS	210.0	['chr5:74037114-74065647' 'chr5:74037114-74068250']
1186	ENSMUSG00000021087	Rtn1	2.7228499549541075e-102	2.4610673807135196e-99	0.162	False	CDS	415.0	['chr12:72308930-72374204' 'chr12:72308930-72408202' 'chr12:72308930-72408311']
2624	ENSMUSG00000024268	Celf4	1.5029687775868046e-101	1.2679044607722283e-98	0.122	True	3' UTR	188.0	['chr18:25479712-25481770' 'chr18:25479712-25486794']
6365	ENSMUSG00000026150	Mff	1.6510459951047752e-100	1.3057710013784891e-97	0.135	True	CDS	4945.0	['chr1:82735508-82750520' 'chr1:82741977-82750520' 'chr1:82747143-82750520']
2618	ENSMUSG00000041923	Nol4	3.146704613820043e-98	2.342258834310519e-95	0.421	True	CDS	2622.0	['chr18:22823571-22850638' 'chr18:22823571-22912582']
5969	ENSMUSG00000032503	Arpp21	8.252598252004463e-96	5.496230435834972e-93	0.185	True	5' UTR	9128.0	['chr9:112187767-112187854' 'chr9:112187767-112187861' 'chr9:112187767-112187903' 'chr9:112187767-112188021' 'chr9:112187767-112188124' 'chr9:112187767-112206245' 'chr9:112187767-112219803' 'chr9:112187767-112228864' 'chr9:112187767-112230916' 'chr9:112187767-112232335' 'chr9:112187767-112233092' 'chr9:112187767-112233646' 'chr9:112187767-112234310' 'chr9:112187767-112235646' 'chr9:112187767-112235650']
8756	ENSMUSG00000039601	Rcan2	3.427925210643627e-94	2.1688482807742232e-91	0.323	True	CDS	401.0	['chr17:43836498-44017767' 'chr17:43953538-44017767']
8379	ENSMUSG00000008658	Rbfox1	8.172372712761698e-93	4.924438300346979e-90	0.208	True	CDS	1195.0	['chr16:6809249-7224311' 'chr16:7039201-7224311' 'chr16:7040026-7224311' 'chr16:7193878-7224311' 'chr16:7217830-7224311']
7962	ENSMUSG00000040640	Erc2	3.708619079429137e-90	2.1331302650498324e-87	0.284	True	CDS	698.0	['chr14:27777243-27876587' 'chr14:27798647-27876587' 'chr14:27876203-27876587']
