cluster	gene_id	gene_name	p_value_adj	max_abs_delta_psi	Annotated	Region	diff_exp_rank	p_value	chromosome	start	end
4674	ENSMUSG00000022754	Tmem45a	1.3177499704693434e-64	0.45	True	5' UTR		1.0483293321156273e-67	chr16	[56825859]	[56831704 56867643 56885813]
16502	ENSMUSG00000025290	Rps24	1.8172642339794567e-33	0.14	True	CDS		2.8914307620993745e-36	chr14	[24493494 24495450]	[24495775]
19544	ENSMUSG00000026879	Gsn	6.0223812890727075e-25	0.191	True	5' UTR		1.4373225033586413e-27	chr2	[35266904 35282602 35282722]	[35283905]
13009	ENSMUSG00000031431	Tsc22d3	1.5643767135131768e-21	0.228	True	CDS		4.9781279666290435e-24	chrX	[140542157]	[140542846 140598128]
3316	ENSMUSG00000041417	Pik3r1	1.0431171474281268e-20	0.403	True	CDS		4.149232885553407e-23	chr13	[101690584]	[101692183 101694376 101701447]
14052	ENSMUSG00000004207	Psap	1.6108496573831274e-20	0.234	True	CDS		7.689019844310869e-23	chr10	[60296003 60297546]	[60299098]
1873	ENSMUSG00000078812	Eif5a	2.7867499094983475e-19	0.089	True	5' UTR		1.9952863313830646e-21	chr11	[69919337]	[69920341 69920801 69921163]
5346	ENSMUSG00000024096	Ralbp1	5.955147344449124e-19	0.275	True	5' UTR		4.7375873861965986e-21	chr17	[65867831]	[65884222 65884678 65885186]
1844	ENSMUSG00000018736	Ndel1	7.854844064508526e-19	0.253	True	5' UTR		6.87376966663435e-21	chr11	[68845425]	[68852942 68859923]
4755	ENSMUSG00000022951	Rcan1	3.160755277484649e-16	0.326	True	CDS		3.017427472539045e-18	chr16	[92397437]	[92399896 92465833]
4673	ENSMUSG00000022754	Tmem45a	6.584756344275822e-16	0.081	True	CDS		6.810010539028295e-18	chr16	[56806777]	[56809899 56811526]
6946	ENSMUSG00000032046	Abhd12	6.948527233733732e-16	0.335	False	CDS		7.739012034389199e-18	chr2	[150858485]	[150858771 150904357]
18422	ENSMUSG00000024059	Clip4	5.45338445975723e-15	0.345	False	5' UTR		6.507618687061133e-17	chr17	[71781434 71782847]	[71789868]
857	ENSMUSG00000019820	Utrn	6.3724082628502366e-15	0.486	True	CDS		8.111259523118836e-17	chr10	[12765333]	[12826769 12861568]
9946	ENSMUSG00000030315	Vgll4	8.541945279541589e-15	0.293	True	CDS		1.1552352406699043e-16	chr6	[114890807]	[114921317 114957936]
1591	ENSMUSG00000020315	Sptbn1	1.4207982610681131e-14	0.377	True	CDS		2.0345559824364388e-16	chr11	[30159446]	[30197724 30219579]
3231	ENSMUSG00000021585	Cast	7.707170660969431e-14	0.345	True	CDS		1.1649661301385776e-15	chr13	[74798719]	[74807819 74808436]
24506	ENSMUSG00000018796	Acsl1	1.575988235268065e-13	0.55	True	CDS		2.507538958262634e-15	chr8	[46521346 46521488]	[46524943]
19062	ENSMUSG00000032702	Kank1	2.893202027598727e-13	0.319	False	CDS		4.8335117406183995e-15	chr19	[25378531 25383791]	[25409086]
23084	ENSMUSG00000042079	Hnrnpf	1.0969261930517615e-12	0.097	False	5' UTR		2.0071044105163497e-14	chr6	[117906840 117907209 117907880 117907919 117917072]	[117917470]
24244	ENSMUSG00000025481	Urah	4.982393349431772e-12	0.085	False	CDS		9.512922862876891e-14	chr7	[140835259 140835305 140835403 140835456]	[140835612]
7498	ENSMUSG00000092607	Scnm1	2.2380105242147602e-11	0.363	True	CDS		4.4510949168949074e-13	chr3	[95130359]	[95131176 95132825]
16722	ENSMUSG00000021981	Cab39l	3.035427450552049e-11	0.358	True	5' UTR		6.278529332884112e-13	chr14	[59461703 59479185]	[59496803]
23878	ENSMUSG00000030774	Pak1	1.3113792383189264e-10	0.496	False	5' UTR		2.8168050465084334e-12	chr7	[97788975 97831059]	[97854436]
21308	ENSMUSG00000006390	Elovl1	2.200989416645295e-10	0.193	True	5' UTR		4.9027608326227736e-12	chr4	[118428216 118429831]	[118430496]
3413	ENSMUSG00000021814	Anxa7	5.447601094991121e-10	0.19	True	5' UTR		1.2568053441109189e-11	chr14	[20473330]	[20479780 20479895]
865	ENSMUSG00000062866	Phactr2	1.9833438153420107e-09	0.456	True	CDS		4.891301374351815e-11	chr10	[13291963]	[13324064 13474056]
8608	ENSMUSG00000029059	Prxl2b	2.6442608045896252e-09	0.128	False	CDS		6.94197347266966e-11	chr4	[154897159]	[154897349 154897506]
25186	ENSMUSG00000032013	Trim29	3.6566119069372483e-09	0.061	False	CDS		9.890597043426126e-11	chr9	[43329616 43330939]	[43332310]
13140	ENSMUSG00000025927	Tfap2b	4.469175984946999e-09	0.301	True	CDS		1.2444006322445898e-10	chr1	[19209249 19212424]	[19213951]
3393	ENSMUSG00000012405	Rpl15	3.219657094968873e-08	0.084	True	5' UTR		9.47711316737059e-10	chr14	[18270461]	[18270823 18270845 18270959]
3139	ENSMUSG00000015937	Macroh2a1	6.054400737846854e-08	0.189	True	CDS		1.8784536895467563e-09	chr13	[56084286]	[56088252 56089758]
11162	ENSMUSG00000038650	Rnh1	1.4598563397588663e-07	0.089	True	CDS		4.7353730033540136e-09	chr7	[141166788]	[141168574 141168676 141172742]
12347	ENSMUSG00000032366	Tpm1	1.4598563397588663e-07	0.278	True	CDS		4.761663478927089e-09	chr9	[67036129]	[67043578 67047786]
7402	ENSMUSG00000028062	Lamtor2	6.244877988668517e-07	0.095	True	CDS		2.0865940773594093e-08	chr3	[88552518]	[88552730 88552796]
2136	ENSMUSG00000038615	Nfe2l1	6.573527560748839e-07	0.235	True	5' UTR		2.2487007566603033e-08	chr11	[96828224]	[96829411 96829819]
25563	ENSMUSG00000048758	Rpl29	6.800895728911702e-07	0.091	True	5' UTR		2.3837883068564538e-08	chr9	[106429577 106429640]	[106429970]
3863	ENSMUSG00000022197	Pdzd2	7.711719623817926e-07	0.315	True	CDS		2.8221090111028206e-08	chr15	[12458300]	[12493316 12549236]
9695	ENSMUSG00000004980	Hnrnpa2b1	1.0888509888181999e-06	0.074	True	CDS		4.15790353725327e-08	chr6	[51467296]	[51467391 51469671]
7340	ENSMUSG00000034109	Golim4	1.0975248531316515e-06	0.266	True	CDS		4.2783387274026184e-08	chr3	[75898133]	[75902401 75903247]
9247	ENSMUSG00000029422	Rsrc2	1.4935550006261191e-06	0.173	True	CDS		5.940950678703736e-08	chr5	[123745112]	[123745497 123749289]
8966	ENSMUSG00000059325	Hopx	2.6579663920773534e-06	0.173	True	5' UTR		1.0995565026891198e-07	chr5	[77095023]	[77095151 77114847]
8210	ENSMUSG00000033295	Ptprf	3.3494734803742757e-06	0.227	False	5' UTR		1.4122680545730836e-07	chr4	[118284853]	[118287648 118291180]
2399	ENSMUSG00000020792	Exoc7	4.339908046372675e-06	0.201	True	CDS		1.8643996380598604e-07	chr11	[116306454]	[116306614 116306889]
12083	ENSMUSG00000031996	Aplp2	7.220494033320631e-06	0.172	True	CDS		3.159325153799799e-07	chr9	[31164674]	[31167561 31168708]
20102	ENSMUSG00000061689	Dlgap4	1.0588855630053352e-05	0.248	False	CDS		4.882466041296011e-07	chr2	[156721088 156722103 156731058]	[156745835]
2794	ENSMUSG00000033713	Foxn3	1.0588855630053352e-05	0.173	True	CDS		4.885868150700832e-07	chr12	[99209567]	[99219598 99219601 99291237]
20797	ENSMUSG00000078578	Ube2d3	1.4319120897756927e-05	0.126	True	5' UTR		6.720987533553371e-07	chr3	[135438353 135438433 135438699 135438865 135438871]	[135439644]
6266	ENSMUSG00000058835	Abi1	2.029692248962229e-05	0.281	True	CDS		9.68826849146649e-07	chr2	[22946762]	[22950184 22953435 22957018]
6117	ENSMUSG00000025064	Col17a1	2.4360310247767944e-05	0.078	True	CDS		1.201542748895475e-06	chr19	[47649473]	[47650048 47650257]
14542	ENSMUSG00000020456	Ogdh	2.48541922887482e-05	0.221	True	CDS		1.24567550850528e-06	chr11	[6316856 6317081]	[6334533]
1417	ENSMUSG00000090841	Myl6	2.8249750487276342e-05	0.051	True	CDS		1.4383325625980004e-06	chr10	[128491034]	[128491290 128491720 128492059]
17507	ENSMUSG00000022841	Ap2m1	6.082077369644489e-05	0.14	True	CDS		3.290224830038386e-06	chr16	[20540416 20540814]	[20540975]
3720	ENSMUSG00000022090	Pdlim2	6.310593164775201e-05	0.104	True	5' UTR		3.4640487539338813e-06	chr14	[70175308]	[70176679 70177609]
17591	ENSMUSG00000060636	Rpl35a	6.517302424107798e-05	0.059	True	5' UTR		3.629364913982068e-06	chr16	[33056511 33056556 33056618]	[33057136]
7426	ENSMUSG00000028041	Adam15	0.00011197545290762148	0.266	True	CDS		6.413868424302902e-06	chr3	[89340180]	[89340401 89341508]
15941	ENSMUSG00000017843	Ppp2r5c	0.00011475049873216997	0.071	True	CDS		6.664110109346388e-06	chr12	[110466021 110485953 110497786]	[110522491]
8320	ENSMUSG00000050390	C77080	0.00012123759420999537	0.185	True	CDS		7.2214261270284286e-06	chr4	[129226014]	[129239006 129248121]
17539	ENSMUSG00000022884	Eif4a2	0.00012123759420999537	0.194	False	CDS		7.233746671240773e-06	chr16	[23111897 23112458 23112462]	[23113167]
11661	ENSMUSG00000001911	Nfix	0.00013149104933126338	0.217	True	CDS		7.950135043099457e-06	chr8	[84772316]	[84773354 84799998]
7277	ENSMUSG00000037174	Elf2	0.00016602713666272848	0.237	True	CDS		1.0170317838528318e-05	chr3	[51266867]	[51277205 51308050]
284	ENSMUSG00000026209	Dnpep	0.00022675400943438008	0.168	True	CDS		1.425104753008435e-05	chr1	[75316804]	[75316891 75317145 75317335]
5887	ENSMUSG00000024969	Mark2	0.00026267857561280045	0.126	True	CDS		1.69267817220659e-05	chr19	[7290783]	[7295038 7341168]
14438	ENSMUSG00000040054	Baz2a	0.00026639095005090495	0.311	False	CDS		1.7377929915810818e-05	chr10	[128096524 128097061]	[128108894]
6268	ENSMUSG00000058835	Abi1	0.000280726496291963	0.166	True	CDS		1.853643531601665e-05	chr2	[22962502]	[22963214 22971083]
9035	ENSMUSG00000035325	Sec31a	0.0003178514234607795	0.222	True	CDS		2.1240667916233473e-05	chr5	[100386204]	[100388534 100389068 100390759]
25338	ENSMUSG00000032294	Pkm	0.00040038403054395793	0.056	True	CDS		2.707449689438061e-05	chr9	[59675196 59675735]	[59678044]
4440	ENSMUSG00000000326	Comt	0.0004135310982299078	0.081	False	CDS		2.8292501549540228e-05	chr16	[18411321]	[18411690 18424304]
21243	ENSMUSG00000057977	Skint11	0.0005588360769572452	0.266	True	CDS		4.0012129615077225e-05	chr4	[114228873 114231765]	[114244546]
12736	ENSMUSG00000031167	Rbm3	0.0006035285242217155	0.086	True	3' UTR		4.3692200241985775e-05	chrX	[8142956]	[8143247 8143251]
15700	ENSMUSG00000021000	Mia2	0.0006452690949744072	0.174	True	CDS		4.722733232907356e-05	chr12	[59129897 59131605]	[59136064]
21548	ENSMUSG00000057530	Ece1	0.0006504047467353821	0.223	True	5' UTR		4.8317142737289285e-05	chr4	[137862382 137913630]	[137913768]
8614	ENSMUSG00000029048	Rer1	0.0006504047467353821	0.119	True	5' UTR		4.868541756068801e-05	chr4	[155082755]	[155083109 155083132 155086205]
23521	ENSMUSG00000030588	Yif1b	0.0006621877660607933	0.164	True	CDS		5.0572812682447226e-05	chr7	[29238437 29238446 29238612]	[29244070]
4764	ENSMUSG00000022940	Pigp	0.0011701187516618638	0.101	True	CDS		9.122644205478332e-05	chr16	[94370193]	[94370366 94370605 94370741 94370895 94371744]
3158	ENSMUSG00000021546	Hnrnpk	0.0012118854591936206	0.059	True	5' UTR		9.641093549670809e-05	chr13	[58400418]	[58402064 58402393]
10289	ENSMUSG00000040714	Klc3	0.0012355076790904714	0.109	True	5' UTR		9.927309116001404e-05	chr7	[19399550]	[19399809 19404021]
12126	ENSMUSG00000032015	Pou2f3	0.0014190114226768976	0.119	False	CDS		0.00011610800039640628	chr9	[43127458]	[43127621 43128878]
25150	ENSMUSG00000041444	Arhgap32	0.0014190114226768976	0.17	True	CDS		0.00011627539899420879	chr9	[32208266 32224588]	[32239262]
4874	ENSMUSG00000023909	Paqr4	0.0015029933052696973	0.238	True	CDS		0.0001246590394546078	chr17	[23738362]	[23739860 23740799]
21554	ENSMUSG00000028759	Hp1bp3	0.0015029933052696973	0.12	True	5' UTR		0.00012669481550750322	chr4	[138216741 138217295]	[138221526]
11845	ENSMUSG00000031750	Il34	0.0015029933052696973	0.08	True	CDS		0.00012754877549442042	chr8	[110742780]	[110746818 110748243]
15745	ENSMUSG00000021109	Hif1a	0.0015459789969318814	0.13	True	5' UTR		0.00013282874436646236	chr12	[73901499 73908325]	[73926557]
9947	ENSMUSG00000030315	Vgll4	0.001626174075804246	0.176	True	5' UTR		0.00014101270824396403	chr6	[114958012]	[114968860 114969713]
1055	ENSMUSG00000019947	Arid5b	0.0017172388378641976	0.149	True	CDS		0.00015027547507164818	chr10	[68135107]	[68136486 68186026]
19441	ENSMUSG00000026821	Ralgds	0.0018384162286197425	0.235	False	CDS		0.00016234224453205362	chr2	[28513561 28528337 28533734]	[28540711]
22026	ENSMUSG00000029152	Ociad1	0.002295324934171318	0.065	True	5' UTR		0.00021193417351193563	chr5	[73292977 73294011]	[73294285]
10167	ENSMUSG00000039985	Sinhcaf	0.002295324934171318	0.119	True	5' UTR		0.0002136459962593828	chr6	[148933149]	[148944589 148946047 148946292]
14324	ENSMUSG00000036499	Eea1	0.0025037962119493075	0.179	True	CDS		0.00023703400892757958	chr10	[95974079 95978287]	[95989562]
22224	ENSMUSG00000050017	Pitpnb	0.003137410538364571	0.175	True	CDS		0.00030201008364527687	chr5	[111383111 111385605]	[111386503]
22568	ENSMUSG00000007812	Zfp655	0.003251882684843319	0.203	False	5' UTR		0.00031561629876760935	chr5	[145231832 145232118]	[145233441]
17957	ENSMUSG00000024158	Hagh	0.003981666642423868	0.124	True	5' UTR		0.0003959493478941792	chr17	[24840282 24850669]	[24852731]
19621	ENSMUSG00000035168	Tanc1	0.00401867207608909	0.241	True	CDS		0.0004028263178895986	chr2	[59772540 59779868]	[59785324]
18177	ENSMUSG00000013787	Ehmt2	0.0044543593534813715	0.238	False	CDS		0.0004500426713541244	chr17	[34903220 34903479]	[34905129]
10294	ENSMUSG00000044709	Gemin7	0.004511852539491368	0.062	True	5' UTR		0.0004594408313881425	chr7	[19565677]	[19573309 19577333]
25091	ENSMUSG00000057193	Slc44a2	0.005218702209628156	0.073	True	CDS		0.0005397225833346542	chr9	[21320852 21337963]	[21338441]
5046	ENSMUSG00000024002	Brd4	0.006401916001850367	0.166	True	5' UTR		0.000667184563438662	chr17	[32229736]	[32253041 32284063 32284518]
8372	ENSMUSG00000028898	Trnau1ap	0.006460960332270529	0.123	True	CDS		0.0006784779346537071	chr4	[132325261]	[132325946 132329353]
21789	ENSMUSG00000023353	Agap3	0.0073147641218991675	0.123	True	CDS		0.0007797759684443026	chr5	[24452535 24475183]	[24476378]
95	ENSMUSG00000058407	Txndc9	0.007770887908646731	0.089	True	5' UTR		0.0008345822336255439	chr1	[37995842]	[37996893 37997109 37997164]
6349	ENSMUSG00000014867	Surf4	0.008124989722523145	0.068	True	CDS		0.0008984674394834665	chr2	[26924997]	[26925608 26926769]
