cluster	gene_id	gene_name	p_value	p_value_adj	max_abs_delta_psi	Annotated	Region	diff_exp_rank	coordinates
224	ENSMUSG00000022754	Tmem45a	1.0070156096648686e-67	1.2537344340327614e-64	0.454	True	5' UTR	67.0	['chr16:56825859-56831704' 'chr16:56825859-56867643' 'chr16:56825859-56885813']
777	ENSMUSG00000025290	Rps24	2.8811864691987457e-36	1.793538577076219e-33	0.14	True	CDS	2468.0	['chr14:24493494-24495775' 'chr14:24495450-24495775']
928	ENSMUSG00000026879	Gsn	1.4218444767002795e-27	5.900654578306159e-25	0.191	True	5' UTR	13465.0	['chr2:35266904-35283905' 'chr2:35282602-35283905' 'chr2:35282722-35283905']
616	ENSMUSG00000031431	Tsc22d3	4.873722744962874e-24	1.5169462043696944e-21	0.229	True	CDS	9025.0	['chrX:140542157-140542846' 'chrX:140542157-140598128']
161	ENSMUSG00000041417	Pik3r1	4.1129825827207065e-23	1.024132663097456e-20	0.407	True	CDS	2348.0	['chr13:101690584-101692183' 'chr13:101690584-101694376' 'chr13:101690584-101701447']
666	ENSMUSG00000004207	Psap	7.672483158354093e-23	1.592040255358474e-20	0.235	True	CDS	7532.0	['chr10:60296003-60299098' 'chr10:60297546-60299098']
88	ENSMUSG00000078812	Eif5a	1.9519981611567594e-21	2.700264122933517e-19	0.088	True	5' UTR	559.0	['chr11:69919337-69920341' 'chr11:69919337-69920801' 'chr11:69919337-69921163']
264	ENSMUSG00000024096	Ralbp1	4.5264719982504365e-21	5.635457637821794e-19	0.278	True	5' UTR	373.0	['chr17:65867831-65884222' 'chr17:65867831-65884678' 'chr17:65867831-65885186']
87	ENSMUSG00000018736	Ndel1	6.6746076599812446e-21	7.554442306069682e-19	0.255	True	5' UTR	1252.0	['chr11:68845425-68852942' 'chr11:68845425-68859923']
232	ENSMUSG00000022951	Rcan1	2.9840580197856155e-18	3.095960195527576e-16	0.328	True	CDS	2381.0	['chr16:92397437-92399896' 'chr16:92397437-92465833']
223	ENSMUSG00000022754	Tmem45a	6.704280300510952e-18	6.420637672412409e-16	0.08	True	CDS	67.0	['chr16:56806777-56809899' 'chr16:56806777-56811526']
336	ENSMUSG00000032046	Abhd12	7.604349146640124e-18	6.762439062547825e-16	0.338	False	CDS	1766.0	['chr2:150858485-150858771' 'chr2:150858485-150904357']
879	ENSMUSG00000024059	Clip4	6.431091105208959e-17	5.337805617323436e-15	0.348	False	5' UTR	201.0	['chr17:71781434-71789868' 'chr17:71782847-71789868']
24	ENSMUSG00000019820	Utrn	8.039814282427705e-17	6.255980488514058e-15	0.49	True	CDS	8066.0	['chr10:12765333-12826769' 'chr10:12765333-12861568']
474	ENSMUSG00000030315	Vgll4	1.1333303251034266e-16	8.299977969139802e-15	0.295	True	CDS	11667.0	['chr6:114890807-114921317' 'chr6:114890807-114957936']
73	ENSMUSG00000020315	Sptbn1	2.0144192755096606e-16	1.3933066655608484e-14	0.38	True	CDS	9354.0	['chr11:30159446-30197724' 'chr11:30159446-30219579']
156	ENSMUSG00000021585	Cast	1.1608769684235995e-15	7.606799082565167e-14	0.348	True	CDS	9263.0	['chr13:74798719-74807819' 'chr13:74798719-74808436']
1177	ENSMUSG00000018796	Acsl1	2.4978277504246586e-15	1.55489777463935e-13	0.555	True	CDS	52.0	['chr8:46521346-46524943' 'chr8:46521488-46524943']
913	ENSMUSG00000032702	Kank1	4.819043407423572e-15	2.857004305829689e-13	0.322	False	CDS	7991.0	['chr19:25378531-25409086' 'chr19:25383791-25409086']
1105	ENSMUSG00000042079	Hnrnpf	1.9437907897445162e-14	1.05218240575301e-12	0.098	False	5' UTR	1448.0	['chr6:117906840-117917470' 'chr6:117907209-117917470' 'chr6:117907880-117917470' 'chr6:117907919-117917470' 'chr6:117917072-117917470']
