cluster	gene_id	gene_name	p_value	p_value_adj	max_abs_delta_psi	Annotated	Region	diff_exp_rank	coordinates
0	ENSMUSG00000026395	Ptprc	6.776967530079198e-48	3.0496353885356398e-46	0.953	True	CDS	269.0	['chr1:138117026-138117754' 'chr1:138117026-138126303']
23	ENSMUSG00000038811	Gngt2	9.385851226762077e-19	2.1118165260214665e-17	0.478	True	5' UTR	1119.0	['chr11:95842427-95843812' 'chr11:95843393-95843812']
1	ENSMUSG00000090841	Myl6	6.938904620276821e-09	7.806267697811424e-08	0.088	True	CDS	4098.0	['chr10:128491034-128491720' 'chr10:128491034-128492059']
34	ENSMUSG00000026879	Gsn	7.676906759156799e-08	6.90921608324112e-07	0.386	True	5' UTR	575.0	['chr2:35266904-35283905' 'chr2:35282602-35283905']
25	ENSMUSG00000025290	Rps24	1.2896858843880506e-05	9.672644132910379e-05	0.164	True	CDS	391.0	['chr14:24493494-24495775' 'chr14:24495450-24495775']
21	ENSMUSG00000026457	Adipor1	2.8296751516185218e-05	0.0001819076883183336	0.231	True	5' UTR	397.0	['chr1:134415586-134422921' 'chr1:134415990-134422921']
29	ENSMUSG00000055447	Cd47	3.372758035915768e-05	0.00018971763952026197	0.178	True	CDS	3229.0	['chr16:49868113-49884165' 'chr16:49869081-49884165']
40	ENSMUSG00000042079	Hnrnpf	0.0003760551950313008	0.001880275975156504	0.245	True	5' UTR	1533.0	['chr6:117906840-117917470' 'chr6:117907209-117917470' 'chr6:117917072-117917470']
17	ENSMUSG00000030220	Arhgdib	0.0009600140076480967	0.004320063034416437	0.096	True	5' UTR	2588.0	['chr6:136933774-136941438' 'chr6:136933774-136941651']
8	ENSMUSG00000060373	Hnrnpc	0.0015266454190637144	0.0059685183139468545	0.149	True	5' UTR	6003.0	['chr14:52084392-52098015' 'chr14:52084392-52103889']
20	ENSMUSG00000031167	Rbm3	0.003301216150230564	0.01142728667387503	0.166	True	3' UTR	6503.0	['chrX:8142956-8143247' 'chrX:8142956-8143251']
39	ENSMUSG00000056737	Capg	0.014275450126180268	0.04588537540557943	0.116	True	5' UTR	4860.0	['chr6:72544467-72555273' 'chr6:72549502-72555273']
