cluster	gene_id	gene_name	p_value	p_value_adj	max_abs_delta_psi	Annotated	Region	diff_exp_rank	coordinates
211	ENSMUSG00000074457	S100a16	1.505110432301024e-70	3.913287123982662e-68	0.793	True	5' UTR	6109.0	['chr3:90537418-90541994' 'chr3:90541318-90541994']
5	ENSMUSG00000019820	Utrn	7.281334932098764e-49	9.465735411728392e-47	0.844	True	CDS	598.0	['chr10:12765333-12813446' 'chr10:12765333-12861568']
1	ENSMUSG00000040181	Fmo1	5.820292790644349e-40	5.044253751891767e-38	0.977	True	5' UTR	1464.0	['chr1:162859563-162859801' 'chr1:162859563-162866239']
134	ENSMUSG00000038587	Akap12	4.796906893035768e-38	3.117989480473249e-36	0.689	True	CDS	1526.0	['chr10:4313858-4353142' 'chr10:4334710-4353142']
50	ENSMUSG00000002504	Slc9a3r2	1.989682558863366e-23	1.0346349306089503e-21	0.216	True	CDS	59.0	['chr17:24642371-24644819' 'chr17:24642371-24647527']
189	ENSMUSG00000024395	Lims2	1.1996962017416487e-22	5.1986835408804776e-21	0.53	True	5' UTR	193.0	['chr18:31922477-31941740' 'chr18:31931551-31941740']
111	ENSMUSG00000031996	Aplp2	9.677834323038816e-20	3.5946241771287014e-18	0.27	True	CDS	435.0	['chr9:31153500-31156190' 'chr9:31153500-31157695']
233	ENSMUSG00000029761	Cald1	1.0339446555612888e-18	3.3603201305741876e-17	0.507	True	CDS	1002.0	['chr6:34686075-34741789' 'chr6:34709698-34741789']
152	ENSMUSG00000018217	Pmp22	2.7866431918416538e-18	8.050302554209222e-17	0.234	False	5' UTR	910.0	['chr11:63129151-63133125' 'chr11:63131655-63133125']
247	ENSMUSG00000058173	Smco4	7.283417169178914e-14	1.8936884639865176e-12	0.424	False	5' UTR	411.0	['chr9:15493630-15525628' 'chr9:15494150-15525628']
246	ENSMUSG00000025810	Nrp1	2.1275257421440947e-13	5.0286972087042214e-12	0.198	False	CDS	198.0	['chr8:128480969-128487897' 'chr8:128480990-128487897']
235	ENSMUSG00000042079	Hnrnpf	6.357264198327477e-13	1.3774072429709536e-11	0.169	True	5' UTR	637.0	['chr6:117906840-117917470' 'chr6:117907209-117917470' 'chr6:117907880-117917470' 'chr6:117917072-117917470']
106	ENSMUSG00000030695	Aldoa	2.2793547482826947e-11	4.5587094965653883e-10	0.167	True	CDS	5885.0	['chr7:126797777-126797974' 'chr7:126797777-126799045' 'chr7:126797777-126800002' 'chr7:126797777-126800288']
10	ENSMUSG00000090841	Myl6	6.667384083749649e-11	1.2382284726963631e-09	0.231	True	CDS	9947.0	['chr10:128491034-128491290' 'chr10:128491034-128491720' 'chr10:128491034-128492059']
20	ENSMUSG00000020358	Hnrnpab	1.3712369396329894e-10	2.3768106953638487e-09	0.192	True	CDS	11533.0	['chr11:51601479-51601750' 'chr11:51601479-51602593']
103	ENSMUSG00000030605	Mfge8	3.787880146276546e-09	5.7932284590111877e-08	0.087	True	CDS	8358.0	['chr7:79143051-79143278' 'chr7:79143051-79145247']
60	ENSMUSG00000025781	Atp5c1	1.0291743369726864e-08	1.4865851534049914e-07	0.21	True	CDS	6586.0	['chr2:10056162-10056770' 'chr2:10056162-10058996']
176	ENSMUSG00000023034	Nr4a1	1.4755152368440333e-08	2.0191261135760453e-07	0.056	False	5' UTR	1835.0	['chr15:101258427-101270083' 'chr15:101260840-101270083' 'chr15:101266972-101270083' 'chr15:101269104-101270083']
178	ENSMUSG00000022841	Ap2m1	3.114087572553069e-08	4.0483138443189897e-07	0.303	True	CDS	11090.0	['chr16:20540416-20540975' 'chr16:20540814-20540975']
163	ENSMUSG00000064215	Ifi27	1.0412853220997981e-07	1.230609926117943e-06	0.192	True	CDS	6516.0	['chr12:103436683-103437676' 'chr12:103437525-103437676']
227	ENSMUSG00000029064	Gnb1	3.0109725100674746e-07	3.4037080548588837e-06	0.191	True	5' UTR	652.0	['chr4:155491581-155527413' 'chr4:155515680-155527413']
155	ENSMUSG00000038811	Gngt2	2.1808679758310432e-06	2.3626069738169636e-05	0.304	True	5' UTR	94.0	['chr11:95842427-95843812' 'chr11:95842796-95843812']
65	ENSMUSG00000026970	Rbms1	2.702869079971856e-06	2.8109838431707306e-05	0.251	True	CDS	5295.0	['chr2:60842473-60881118' 'chr2:60842473-60962691']
22	ENSMUSG00000048076	Arf1	8.927560585250865e-06	8.927560585250865e-05	0.062	True	5' UTR	3377.0	['chr11:59213524-59227876' 'chr11:59213524-59228173']
149	ENSMUSG00000018899	Irf1	9.423823626582423e-06	9.074793121894189e-05	0.085	False	5' UTR	379.0	['chr11:53770279-53772839' 'chr11:53771376-53772839']
