cluster	gene_id	gene_name	p_value	p_value_adj	max_abs_delta_psi	Annotated	Region	diff_exp_rank	coordinates
867	ENSMUSG00000018819	Lsp1	0.0	0.0	0.992	True	CDS	9564.0	['chr7:142460967-142484479' 'chr7:142472365-142484479' 'chr7:142475418-142484479' 'chr7:142477367-142484479']
557	ENSMUSG00000025290	Rps24	1.7453342746444466e-180	8.054717677484122e-178	0.569	True	CDS	4674.0	['chr14:24493494-24495775' 'chr14:24495450-24495775']
733	ENSMUSG00000074457	S100a16	1.696329729155098e-123	5.219041133367185e-121	0.847	True	5' UTR	235.0	['chr3:90537418-90541994' 'chr3:90541318-90541994']
723	ENSMUSG00000027763	Mbnl1	1.5715368395716452e-95	3.6263212573115713e-93	0.732	True	5' UTR	11719.0	['chr3:60473174-60528756' 'chr3:60501424-60528756']
45	ENSMUSG00000090841	Myl6	5.976131230396677e-86	1.1031938251312266e-83	0.204	True	CDS	7930.0	['chr10:128491034-128491290' 'chr10:128491034-128491720' 'chr10:128491034-128492059']
689	ENSMUSG00000026879	Gsn	8.556991698993866e-81	1.3163505563618897e-78	0.6	True	5' UTR	34.0	['chr2:35266904-35283905' 'chr2:35282602-35283905']
13	ENSMUSG00000026670	Uap1	8.690980094612752e-58	1.1459678039039383e-55	0.594	True	CDS	209.0	['chr1:170143464-170147996' 'chr1:170143464-170149271']
646	ENSMUSG00000024395	Lims2	1.5204146261761625e-56	1.754178374950748e-54	0.516	True	5' UTR	2165.0	['chr18:31922477-31941740' 'chr18:31931551-31941740']
367	ENSMUSG00000030695	Aldoa	2.4250076868559914e-54	2.4869801055200894e-52	0.184	True	CDS	6212.0	['chr7:126797777-126797974' 'chr7:126797777-126799045' 'chr7:126797777-126800002' 'chr7:126797777-126800288']
562	ENSMUSG00000036461	Elf1	2.0040880549483666e-53	1.8497732747173422e-51	0.621	True	5' UTR	13559.0	['chr14:79481638-79536123' 'chr14:79515771-79536123']
240	ENSMUSG00000028041	Adam15	9.803457966160187e-50	8.225992457059867e-48	0.448	True	CDS	6580.0	['chr3:89340180-89340401' 'chr3:89340180-89341508']
921	ENSMUSG00000040990	Sh3kbp1	3.549936902732013e-46	2.7304931343513737e-44	0.699	True	CDS	9754.0	['chrX:159828580-159865325' 'chrX:159840612-159865325']
