cluster	gene_id	gene_name	p_value_adj	max_abs_delta_psi	Annotated	Region	diff_exp_rank	p_value	chromosome	start	end
12347	ENSMUSG00000032366	Tpm1	0.0	0.791	True	CDS	39.0	0.0	chr9	[67036129]	[67043578 67047786 67048124 67049019]
16501	ENSMUSG00000025290	Rps24	6.482535099611046e-231	0.311	True	CDS	5138.0	5.99956973587325e-234	chr14	[24493494 24494070]	[24495430]
14327	ENSMUSG00000019929	Dcn	1.3691188574957447e-162	0.244	True	5' UTR	4490.0	1.9006740270648937e-165	chr10	[97479790 97482548]	[97483339]
1420	ENSMUSG00000090841	Myl6	8.96820609564402e-160	0.112	True	CDS	24.0	1.6600103832751541e-162	chr10	[128492746]	[128492939 128493334 128493539]
14119	ENSMUSG00000006345	Ggt1	2.4580625280857125e-138	0.789	False	5' UTR	1251.0	5.687326534210348e-141	chr10	[75561807 75564906 75568767 75568771 75568970]	[75573611]
22708	ENSMUSG00000029761	Cald1	3.622432703605065e-129	0.549	True	CDS	64.0	1.0057656743003417e-131	chr6	[34686075 34709698]	[34741789]
20026	ENSMUSG00000027455	Nsfl1c	2.4412590841962514e-99	0.619	True	CDS	14322.0	7.907826741959167e-102	chr2	[151500790 151502461]	[151503014]
18797	ENSMUSG00000034006	Slc66a2	2.039625604738676e-92	0.409	True	CDS	34.0	7.550673224391214e-95	chr18	[80263554 80272516]	[80283276]
11235	ENSMUSG00000031078	Cttn	3.2613600356942555e-84	0.462	True	CDS	5183.0	1.3582711856200048e-86	chr7	[144449616]	[144450978 144452027]
25338	ENSMUSG00000032294	Pkm	7.408720496555615e-74	0.232	True	CDS	1319.0	3.428375981747161e-76	chr9	[59675196 59675735]	[59678044]
12345	ENSMUSG00000032366	Tpm1	2.5877557692160545e-73	0.301	True	CDS	39.0	1.3172287580461173e-75	chr9	[67031515]	[67031951 67032466 67032794]
25246	ENSMUSG00000032068	Plet1	2.296507759787129e-68	0.134	False	CDS	6183.0	1.2752472520798496e-70	chr9	[50494747 50499300 50500932]	[50501073]
5617	ENSMUSG00000024501	Dpysl3	2.5007115702256668e-67	0.632	True	CDS	1373.0	1.5043614258645842e-69	chr18	[43363592]	[43392990 43437830]
20179	ENSMUSG00000017897	Eya2	1.37567258333736e-56	0.589	True	5' UTR	965.0	8.9122703224077e-59	chr2	[165595265 165655536]	[165664786]
18127	ENSMUSG00000041881	Ndufa7	4.744765746473131e-50	0.066	True	CDS	1963.0	3.2934514667791273e-52	chr17	[33824681 33825651 33829312]	[33829667]
