	chromosome	start	end	cluster	left_exon_count	left_genes	right_exon_count	right_genes	genes	n_genes	genes_cluster	n_genes_cluster	annotated	gene_id	original_cluster	n_start	strand	cluster_type	psi_a	psi_b	delta_psi	lfc_psi	abs_delta_psi	abs_lfc_psi
0	chr1	16585432	16597951	0	4	['ENSMUSG00000025939']	7	['ENSMUSG00000025939']	['ENSMUSG00000025939']	1	['ENSMUSG00000025939']	1	True	ENSMUSG00000025939	38	1	-	shared_acceptor	0.981921906966184	0.8865148573368947	0.09540704962928925	0.14746348042069812	0.09540704962928925	0.14746348042069812
1	chr1	16585432	16602262	0	4	['ENSMUSG00000025939']	7	['ENSMUSG00000025939']	['ENSMUSG00000025939']	1	['ENSMUSG00000025939']	1	False	ENSMUSG00000025939	38	1	-	shared_acceptor	0.018078093033816033	0.11348514266310523	-0.0954070496292892	-2.650188958585562	0.0954070496292892	2.650188958585562
2	chr1	16648008	16656822	1	10	['ENSMUSG00000079658']	5	['ENSMUSG00000079658']	['ENSMUSG00000079658']	1	['ENSMUSG00000079658']	1	True	ENSMUSG00000079658	42	1	-	shared_acceptor	0.8400259603011582	0.7506112277166544	0.08941473258450372	0.16236804330105797	0.08941473258450372	0.16236804330105797
3	chr1	16648008	16656862	1	10	['ENSMUSG00000079658']	0	[]	['ENSMUSG00000079658']	1	['ENSMUSG00000079658']	1	False	ENSMUSG00000079658	42	1	-	shared_acceptor	0.047370768616096876	0.05242811312584795	-0.005057344509751073	-0.14634354102248537	0.005057344509751073	0.14634354102248537
4	chr1	16648008	16656912	1	10	['ENSMUSG00000079658']	1	['ENSMUSG00000079658']	['ENSMUSG00000079658']	1	['ENSMUSG00000079658']	1	True	ENSMUSG00000079658	42	1	-	shared_acceptor	0.023589075254316364	0.022999307916699047	0.0005897673376173175	0.036528412185065307	0.0005897673376173175	0.036528412185065307
5	chr1	16648008	16656992	1	10	['ENSMUSG00000079658']	3	['ENSMUSG00000079658']	['ENSMUSG00000079658']	1	['ENSMUSG00000079658']	1	True	ENSMUSG00000079658	42	1	-	shared_acceptor	0.08901419582842869	0.17396135124079867	-0.08494715541236998	-0.96665947412006	0.08494715541236998	0.96665947412006
6	chr1	37995842	37996893	2	6	['ENSMUSG00000058407']	1	['ENSMUSG00000058407']	['ENSMUSG00000058407']	1	['ENSMUSG00000058407']	1	True	ENSMUSG00000058407	95	1	-	shared_acceptor	0.29777766903026837	0.14595963997451675	0.15181802905575162	1.0286660647473247	0.15181802905575162	1.0286660647473247
7	chr1	37995842	37997109	2	6	['ENSMUSG00000058407']	2	['ENSMUSG00000058407']	['ENSMUSG00000058407']	1	['ENSMUSG00000058407']	1	True	ENSMUSG00000058407	95	1	-	shared_acceptor	0.6152103844600254	0.6789801063554155	-0.0637697218953901	-0.1422894493937953	0.0637697218953901	0.1422894493937953
8	chr1	37995842	37997164	2	6	['ENSMUSG00000058407']	2	['ENSMUSG00000058407']	['ENSMUSG00000058407']	1	['ENSMUSG00000058407']	1	True	ENSMUSG00000058407	95	1	-	shared_acceptor	0.08701194650970627	0.17506025367006767	-0.0880483071603614	-1.0085661598933071	0.0880483071603614	1.0085661598933071
9	chr1	55086942	55087779	3	3	['ENSMUSG00000025980']	1	['ENSMUSG00000025980']	['ENSMUSG00000025980']	1	['ENSMUSG00000025980']	1	True	ENSMUSG00000025980	165	1	-	shared_acceptor	0.6269311642299941	0.6849882191759754	-0.058057054945981346	-0.12777212905261603	0.058057054945981346	0.12777212905261603
10	chr1	55086942	55087989	3	3	['ENSMUSG00000025980']	1	['ENSMUSG00000025980']	['ENSMUSG00000025980']	1	['ENSMUSG00000025980']	1	True	ENSMUSG00000025980	165	1	-	shared_acceptor	0.3730688357700059	0.3150117808240246	0.05805705494598129	0.24403606564369995	0.05805705494598129	0.24403606564369995
11	chr1	63170915	63172154	4	8	['ENSMUSG00000025968']	2	['ENSMUSG00000025968']	['ENSMUSG00000025968']	1	['ENSMUSG00000025968']	1	True	ENSMUSG00000025968	214	1	-	shared_acceptor	0.04362114219399202	0.1347843670122782	-0.09116322481828618	-1.6275537009155272	0.09116322481828618	1.6275537009155272
12	chr1	63170915	63176428	4	8	['ENSMUSG00000025968']	4	['ENSMUSG00000025968']	['ENSMUSG00000025968']	1	['ENSMUSG00000025968']	1	True	ENSMUSG00000025968	214	1	-	shared_acceptor	0.3800241377649966	0.2871741549538931	0.09284998281110352	0.4041651394301202	0.09284998281110352	0.4041651394301202
13	chr1	63170915	63176586	4	8	['ENSMUSG00000025968']	4	['ENSMUSG00000025968']	['ENSMUSG00000025968']	1	['ENSMUSG00000025968']	1	True	ENSMUSG00000025968	214	1	-	shared_acceptor	0.5763547200410114	0.5780414780338287	-0.001686757992817256	-0.004216020674839505	0.001686757992817256	0.004216020674839505
14	chr1	86543584	86545702	5	4	['ENSMUSG00000026239']	5	['ENSMUSG00000026239']	['ENSMUSG00000026239']	1	['ENSMUSG00000026239']	1	True	ENSMUSG00000026239	334	1	-	shared_acceptor	0.9757306102473604	0.9558618681208672	0.019868742126493255	0.02968073964748589	0.019868742126493255	0.02968073964748589
15	chr1	86543584	86546657	5	4	['ENSMUSG00000026239']	6	['ENSMUSG00000026239']	['ENSMUSG00000026239']	1	['ENSMUSG00000026239']	1	False	ENSMUSG00000026239	334	1	-	shared_acceptor	0.024269389752639616	0.04413813187913288	-0.019868742126493266	-0.8628877101571106	0.019868742126493266	0.8628877101571106
