	chromosome	start	end	cluster	left_exon_count	left_genes	right_exon_count	right_genes	genes	n_genes	genes_cluster	n_genes_cluster	annotated	gene_id	original_cluster	n_start	strand	cluster_type	psi_a	psi_b	delta_psi	lfc_psi	abs_delta_psi	abs_lfc_psi
0	chr1	4782734	4783951	3	8	['ENSMUSG00000033845']	7	['ENSMUSG00000033845']	['ENSMUSG00000033845']	1	['ENSMUSG00000033845']	1	True	ENSMUSG00000033845	3	1	-	shared_acceptor	0.9670304335161146	0.9735845846730591	-0.0065541511569444655	-0.009745031575352808	0.0065541511569444655	0.009745031575352808
1	chr1	4782734	4785573	3	8	['ENSMUSG00000033845']	10	['ENSMUSG00000033845']	['ENSMUSG00000033845']	1	['ENSMUSG00000033845']	1	True	ENSMUSG00000033845	3	1	-	shared_acceptor	0.032969566483885444	0.026415415326940847	0.006554151156944597	0.31975481289110075	0.006554151156944597	0.31975481289110075
2	chr1	13572075	13573858	28	2	['ENSMUSG00000025935']	0	[]	['ENSMUSG00000025935']	1	['ENSMUSG00000025935']	1	False	ENSMUSG00000025935	28	1	-	shared_acceptor	0.0030758172331484747	0.10587095884745626	-0.10279514161430778	-5.105192856438084	0.10279514161430778	5.105192856438084
3	chr1	13572075	13576368	28	2	['ENSMUSG00000025935']	2	['ENSMUSG00000025935']	['ENSMUSG00000025935']	1	['ENSMUSG00000025935']	1	True	ENSMUSG00000025935	28	1	-	shared_acceptor	0.9969241827668515	0.8941290411525438	0.1027951416143077	0.15700073310044388	0.1027951416143077	0.15700073310044388
4	chr1	13579567	13579690	29	5	['ENSMUSG00000025935']	3	['ENSMUSG00000025935']	['ENSMUSG00000025935']	1	['ENSMUSG00000025935']	1	True	ENSMUSG00000025935	29	1	-	shared_acceptor	0.9802263266850411	0.9683544347594103	0.011871891925630762	0.017579698881589355	0.011871891925630762	0.017579698881589355
5	chr1	13579567	13581023	29	5	['ENSMUSG00000025935']	4	['ENSMUSG00000025935']	['ENSMUSG00000025935']	1	['ENSMUSG00000025935']	1	True	ENSMUSG00000025935	29	1	-	shared_acceptor	0.019773673314958953	0.03164556524058966	-0.011871891925630706	-0.6784224069697826	0.011871891925630706	0.6784224069697826
6	chr1	16643479	16645686	40	14	['ENSMUSG00000079658']	14	['ENSMUSG00000079658']	['ENSMUSG00000079658']	1	['ENSMUSG00000079658']	1	True	ENSMUSG00000079658	40	1	-	shared_acceptor	0.9811930362458138	0.9814042258022113	-0.00021118955639753967	-0.0003104886901246773	0.00021118955639753967	0.0003104886901246773
7	chr1	16643479	16647955	40	14	['ENSMUSG00000079658']	23	['ENSMUSG00000079658']	['ENSMUSG00000079658']	1	['ENSMUSG00000079658']	1	False	ENSMUSG00000079658	40	1	-	shared_acceptor	0.018806963754186102	0.0185957741977887	0.0002111895563974009	0.01629214138096291	0.0002111895563974009	0.01629214138096291
8	chr1	16648008	16656296	42	10	['ENSMUSG00000079658']	3	['ENSMUSG00000079658']	['ENSMUSG00000079658']	1	['ENSMUSG00000079658']	1	True	ENSMUSG00000079658	42	1	-	shared_acceptor	0.03494687526844449	0.021906069001265068	0.013040806267179423	0.6738328210867293	0.013040806267179423	0.6738328210867293
9	chr1	16648008	16656616	42	10	['ENSMUSG00000079658']	0	[]	['ENSMUSG00000079658']	1	['ENSMUSG00000079658']	1	False	ENSMUSG00000079658	42	1	-	shared_acceptor	0.0033221200757527843	0.017273016878090092	-0.013950896802337309	-2.378343608407209	0.013950896802337309	2.378343608407209
10	chr1	16648008	16656822	42	10	['ENSMUSG00000079658']	5	['ENSMUSG00000079658']	['ENSMUSG00000079658']	1	['ENSMUSG00000079658']	1	True	ENSMUSG00000079658	42	1	-	shared_acceptor	0.7041622745791443	0.6472614124037432	0.056900862175401024	0.12155943914949752	0.056900862175401024	0.12155943914949752
11	chr1	16648008	16656862	42	10	['ENSMUSG00000079658']	0	[]	['ENSMUSG00000079658']	1	['ENSMUSG00000079658']	1	False	ENSMUSG00000079658	42	1	-	shared_acceptor	0.06780143449984186	0.0854050661902559	-0.01760363169041404	-0.33300585070847566	0.01760363169041404	0.33300585070847566
12	chr1	16648008	16656912	42	10	['ENSMUSG00000079658']	1	['ENSMUSG00000079658']	['ENSMUSG00000079658']	1	['ENSMUSG00000079658']	1	True	ENSMUSG00000079658	42	1	-	shared_acceptor	0.05072583827242786	0.0640008842773219	-0.013275046004894035	-0.33537103104295163	0.013275046004894035	0.33537103104295163
13	chr1	16648008	16656992	42	10	['ENSMUSG00000079658']	3	['ENSMUSG00000079658']	['ENSMUSG00000079658']	1	['ENSMUSG00000079658']	1	True	ENSMUSG00000079658	42	1	-	shared_acceptor	0.13904145730438885	0.1641535512493238	-0.025112093944934938	-0.23953085115478245	0.025112093944934938	0.23953085115478245
14	chr1	30831560	30837105	56	6	['ENSMUSG00000048874']	6	['ENSMUSG00000048874']	['ENSMUSG00000048874']	1	['ENSMUSG00000048874']	1	True	ENSMUSG00000048874	56	1	-	shared_acceptor	0.6291106783438348	0.7385479787081591	-0.10943730036432431	-0.2313777960504217	0.10943730036432431	0.2313777960504217
15	chr1	30831560	30862987	56	6	['ENSMUSG00000048874']	9	['ENSMUSG00000048874']	['ENSMUSG00000048874']	1	['ENSMUSG00000048874']	1	True	ENSMUSG00000048874	56	1	-	shared_acceptor	0.24246700424041168	0.18973904637512548	0.052727957865286196	0.35377183066871565	0.052727957865286196	0.35377183066871565
16	chr1	30831560	30873578	56	6	['ENSMUSG00000048874']	5	['ENSMUSG00000048874']	['ENSMUSG00000048874']	1	['ENSMUSG00000048874']	1	False	ENSMUSG00000048874	56	1	-	shared_acceptor	0.12842231741575344	0.07171297491671534	0.0567093424990381	0.8405898567712309	0.0567093424990381	0.8405898567712309
17	chr1	36269702	36273101	67	4	['ENSMUSG00000047180']	0	[]	['ENSMUSG00000047180']	1	['ENSMUSG00000047180']	1	False	ENSMUSG00000047180	67	1	-	shared_acceptor	0.14422523186379485	0.061365164610128094	0.08286006725366676	1.23283175619448	0.08286006725366676	1.23283175619448
18	chr1	36269702	36273338	67	4	['ENSMUSG00000047180']	4	['ENSMUSG00000047180']	['ENSMUSG00000047180']	1	['ENSMUSG00000047180']	1	True	ENSMUSG00000047180	67	1	-	shared_acceptor	0.8557747681362051	0.9386348353898718	-0.08286006725366668	-0.13333286086890514	0.08286006725366668	0.13333286086890514
19	chr1	37995842	37996893	95	6	['ENSMUSG00000058407']	1	['ENSMUSG00000058407']	['ENSMUSG00000058407']	1	['ENSMUSG00000058407']	1	True	ENSMUSG00000058407	95	1	-	shared_acceptor	0.21183527070377833	0.11196396815852508	0.09987130254525325	0.9199082888275787	0.09987130254525325	0.9199082888275787
20	chr1	37995842	37997109	95	6	['ENSMUSG00000058407']	2	['ENSMUSG00000058407']	['ENSMUSG00000058407']	1	['ENSMUSG00000058407']	1	True	ENSMUSG00000058407	95	1	-	shared_acceptor	0.5909809491280031	0.6404355083615402	-0.04945455923353703	-0.11594167438108371	0.04945455923353703	0.11594167438108371
21	chr1	37995842	37997164	95	6	['ENSMUSG00000058407']	2	['ENSMUSG00000058407']	['ENSMUSG00000058407']	1	['ENSMUSG00000058407']	1	True	ENSMUSG00000058407	95	1	-	shared_acceptor	0.19718378016821855	0.24760052347993483	-0.05041674331171628	-0.3284734790241033	0.05041674331171628	0.3284734790241033
22	chr1	53771823	53776517	159	3	['ENSMUSG00000026094']	2	['ENSMUSG00000026094']	['ENSMUSG00000026094']	1	['ENSMUSG00000026094']	1	True	ENSMUSG00000026094	159	1	-	shared_acceptor	0.9693078605278074	0.9606088605928382	0.008698999934969143	0.013005834822557447	0.008698999934969143	0.013005834822557447
23	chr1	53771823	53785074	159	3	['ENSMUSG00000026094']	2	['ENSMUSG00000026094']	['ENSMUSG00000026094']	1	['ENSMUSG00000026094']	1	True	ENSMUSG00000026094	159	1	-	shared_acceptor	0.030692139472192546	0.03939113940716177	-0.008698999934969222	-0.3600019218363366	0.008698999934969222	0.3600019218363366
24	chr1	55014563	55014869	162	4	['ENSMUSG00000025982']	2	['ENSMUSG00000025982']	['ENSMUSG00000025982']	1	['ENSMUSG00000025982']	1	True	ENSMUSG00000025982	162	1	-	shared_acceptor	0.028523002792130048	0.01951183718001786	0.009011165612112189	0.5477762233352168	0.009011165612112189	0.5477762233352168
25	chr1	55014563	55016376	162	4	['ENSMUSG00000025982']	5	['ENSMUSG00000025982']	['ENSMUSG00000025982']	1	['ENSMUSG00000025982']	1	True	ENSMUSG00000025982	162	1	-	shared_acceptor	0.97147699720787	0.9804881628199822	-0.009011165612112237	-0.013320377380224686	0.009011165612112237	0.013320377380224686
26	chr1	55086942	55087779	165	3	['ENSMUSG00000025980']	1	['ENSMUSG00000025980']	['ENSMUSG00000025980']	1	['ENSMUSG00000025980']	1	True	ENSMUSG00000025980	165	1	-	shared_acceptor	0.6629395529952263	0.7138930346806361	-0.05095348168540981	-0.10683059476784373	0.05095348168540981	0.10683059476784373
