cluster	gene_id	gene_name	p_value	p_value_adj	max_abs_delta_psi	Annotated	Region	diff_exp_rank	coordinates
345	ENSMUSG00000022892	App	0.0	0.0	0.774	True	CDS	4838.0	['chr16:85030366-85040251' 'chr16:85030366-85043576' 'chr16:85030366-85056324']
1252	ENSMUSG00000041881	Ndufa7	0.0	0.0	0.37	True	CDS	1612.0	['chr17:33824681-33829667' 'chr17:33825651-33829667' 'chr17:33829312-33829667' 'chr17:33829396-33829667']
342	ENSMUSG00000022892	App	5.376519557930081e-261	3.200821310154375e-258	0.522	True	CDS	4838.0	['chr16:84965771-84971408' 'chr16:84965771-84978064']
952	ENSMUSG00000004207	Psap	1.1613472138093612e-247	5.185415309658799e-245	0.4	True	CDS	622.0	['chr10:60296003-60299098' 'chr10:60297546-60299098']
888	ENSMUSG00000031431	Tsc22d3	8.047178865686069e-231	2.874452290823064e-228	0.572	False	CDS	458.0	['chrX:140542157-140542511' 'chrX:140542157-140542846' 'chrX:140542157-140548196' 'chrX:140542157-140548339' 'chrX:140542157-140598128']
1033	ENSMUSG00000020486	Septin4	2.8017720259547355e-230	8.339941397258598e-228	0.743	True	CDS	745.0	['chr11:87578538-87583921' 'chr11:87579029-87583921' 'chr11:87581099-87583921' 'chr11:87581226-87583921' 'chr11:87583365-87583921' 'chr11:87583615-87583921']
1496	ENSMUSG00000028745	Capzb	5.1438675129835215e-186	1.3124210540269387e-183	0.682	True	CDS	4199.0	['chr4:139287833-139291003' 'chr4:139288974-139291003']
1427	ENSMUSG00000027940	Tpm3	1.5486043961049375e-168	3.457259314304274e-166	0.679	True	CDS	712.0	['chr3:90088477-90089797' 'chr3:90089124-90089797']
1758	ENSMUSG00000033392	Clasp2	4.499106316320477e-147	8.928226534387082e-145	0.694	True	CDS	689.0	['chr9:113786635-113813142' 'chr9:113793467-113813142' 'chr9:113812767-113813142']
713	ENSMUSG00000054808	Actn4	1.0151379305531233e-141	1.813036343967878e-139	0.591	True	CDS	1272.0	['chr7:28907065-28909903' 'chr7:28907065-28911490']
88	ENSMUSG00000090841	Myl6	2.497412173176623e-137	4.0548892193576805e-135	0.258	True	CDS	255.0	['chr10:128491034-128491290' 'chr10:128491034-128491720' 'chr10:128491034-128492059']
521	ENSMUSG00000028041	Adam15	8.37445350861485e-136	1.2463978305321767e-133	0.725	True	CDS	796.0	['chr3:89340180-89340401' 'chr3:89340180-89341508']
308	ENSMUSG00000023021	Cers5	2.957010524511729e-128	4.0624775359830375e-126	0.872	True	CDS	14773.0	['chr15:99736437-99737547' 'chr15:99736437-99738665']
486	ENSMUSG00000032841	Prr5l	4.811430164834158e-124	6.138010195995576e-122	0.948	True	CDS	4131.0	['chr2:101772409-101797421' 'chr2:101772409-101797472' 'chr2:101772409-101882941']
561	ENSMUSG00000028639	Ybx1	1.3806362025887156e-116	1.6438775052156307e-114	0.273	True	CDS	548.0	['chr4:119282449-119282781' 'chr4:119282449-119285109']
564	ENSMUSG00000028649	Macf1	3.5936274324771666e-102	4.011386621502637e-100	0.351	False	CDS	931.0	['chr4:123554366-123565189' 'chr4:123554366-123613587' 'chr4:123554366-123664466' 'chr4:123554366-123683970']
1518	ENSMUSG00000029106	Add1	2.0949778272799233e-100	2.2009590585423194e-98	0.792	True	CDS	1391.0	['chr5:34628514-34630470' 'chr5:34629173-34630470' 'chr5:34630285-34630470']
111	ENSMUSG00000015837	Sqstm1	6.554293724007161e-98	6.5033158839315494e-96	0.143	False	CDS	14697.0	['chr11:50207917-50210553' 'chr11:50207917-50215803']
1198	ENSMUSG00000022841	Ap2m1	9.230829557963339e-94	8.676979784485538e-92	0.305	True	CDS	6446.0	['chr16:20540416-20540975' 'chr16:20540814-20540975']
328	ENSMUSG00000022548	Apod	1.867132429015654e-85	1.6673492591109792e-83	0.144	True	5' UTR	1389.0	['chr16:31311165-31314399' 'chr16:31311165-31314552']
6	ENSMUSG00000025986	Slc39a10	3.510332552830088e-85	2.9854542568354943e-83	0.843	True	CDS	157.0	['chr1:46836152-46853471' 'chr1:46836152-46892800']
355	ENSMUSG00000002504	Slc9a3r2	2.5182430693675522e-82	2.044355509950204e-80	0.169	True	CDS	115.0	['chr17:24642371-24644819' 'chr17:24642371-24647527']
294	ENSMUSG00000009035	Tmem184b	1.0390254457026996e-81	8.068258460978355e-80	0.605	True	5' UTR	1387.0	['chr15:79378714-79396676' 'chr15:79378714-79403185']
169	ENSMUSG00000017132	Cyth1	4.461813730106751e-81	3.3203330508211077e-79	0.861	False	CDS	2056.0	['chr11:118193698-118202373' 'chr11:118193698-118248439']
163	ENSMUSG00000020792	Exoc7	5.42574854640287e-81	3.8761547615502095e-79	0.824	True	CDS	6895.0	['chr11:116292585-116293275' 'chr11:116292585-116293972']
778	ENSMUSG00000008892	Vdac3	6.136573949616422e-81	4.2153542592365114e-79	0.446	True	CDS	16104.0	['chr8:22583737-22587550' 'chr8:22583737-22587553']
1429	ENSMUSG00000074457	S100a16	9.84949438586572e-81	6.51525813820599e-79	0.298	True	5' UTR	3950.0	['chr3:90537418-90541994' 'chr3:90541191-90541994' 'chr3:90541195-90541994' 'chr3:90541318-90541994']
55	ENSMUSG00000020099	Unc5b	4.555945274145134e-80	2.9060422355797177e-78	0.644	True	CDS	2011.0	['chr10:60775161-60777185' 'chr10:60775161-60777390']
30	ENSMUSG00000026566	Mpzl1	8.403743732240542e-80	5.175547001993659e-78	0.487	True	CDS	441.0	['chr1:165593678-165601750' 'chr1:165593678-165604610']
1089	ENSMUSG00000058070	Eml1	3.797880819380582e-79	2.261005047804574e-77	0.778	False	5' UTR	2113.0	['chr12:108371353-108463527' 'chr12:108410921-108463527' 'chr12:108423262-108463527']
628	ENSMUSG00000037936	Scarb1	1.581519374621766e-78	9.111592267982175e-77	0.712	True	CDS	359.0	['chr5:125277866-125281105' 'chr5:125277866-125283899']
679	ENSMUSG00000030067	Foxp1	2.641759645672149e-78	1.474432102240768e-76	0.782	True	CDS	314.0	['chr6:99016666-99028164' 'chr6:99016666-99075854']
32	ENSMUSG00000026670	Uap1	2.5248134609400375e-77	1.3664596488602748e-75	0.768	True	CDS	6892.0	['chr1:170143464-170147996' 'chr1:170143464-170149271']
414	ENSMUSG00000024826	Dpf2	1.350931906806006e-75	7.096365839869196e-74	0.806	True	CDS	8627.0	['chr19:5902769-5903731' 'chr19:5902769-5904240']
387	ENSMUSG00000056121	Fez2	1.9807954718880285e-74	1.0107716322262914e-72	0.686	True	CDS	15411.0	['chr17:78384820-78386991' 'chr17:78384820-78400630']
852	ENSMUSG00000032366	Tpm1	2.3610453521750035e-74	1.1713408330512654e-72	0.321	True	CDS	1139.0	['chr9:67036129-67043578' 'chr9:67036129-67047786' 'chr9:67036129-67048124']
1430	ENSMUSG00000015714	Cers2	3.283341199350077e-73	1.584877670821415e-71	0.217	True	5' UTR	1283.0	['chr3:95315346-95320062' 'chr3:95315539-95320062' 'chr3:95318954-95320062']
391	ENSMUSG00000024241	Sos1	3.3852723526982944e-72	1.5910780057681984e-70	0.866	False	CDS	2587.0	['chr17:80434153-80434650' 'chr17:80434153-80434895']
