	chromosome	start	end	cluster	left_exon_count	left_genes	right_exon_count	right_genes	genes	n_genes	genes_cluster	n_genes_cluster	annotated	gene_id	original_cluster	n_start	strand	cluster_type	psi_a	psi_b	delta_psi	lfc_psi	abs_delta_psi	abs_lfc_psi
0	chr1	16648008	16656822	0	10	['ENSMUSG00000079658']	5	['ENSMUSG00000079658']	['ENSMUSG00000079658']	1	['ENSMUSG00000079658']	1	True	ENSMUSG00000079658	42	1	-	shared_acceptor	0.7629402874963878	0.8261036808674981	-0.06316339337111032	-0.11475271247690322	0.06316339337111032	0.11475271247690322
1	chr1	16648008	16656992	0	10	['ENSMUSG00000079658']	3	['ENSMUSG00000079658']	['ENSMUSG00000079658']	1	['ENSMUSG00000079658']	1	True	ENSMUSG00000079658	42	1	-	shared_acceptor	0.23705971250361224	0.173896319132502	0.06316339337111024	0.44702310489034724	0.06316339337111024	0.44702310489034724
2	chr1	195130010	195131188	1	11	['ENSMUSG00000016481']	6	['ENSMUSG00000016481']	['ENSMUSG00000016481']	1	['ENSMUSG00000016481']	1	True	ENSMUSG00000016481	826	1	-	shared_acceptor	0.8470546331753719	0.8069604312602902	0.04009420191508173	0.06995708945937631	0.04009420191508173	0.06995708945937631
3	chr1	195130010	195131502	1	11	['ENSMUSG00000016481']	1	['ENSMUSG00000016481']	['ENSMUSG00000016481']	1	['ENSMUSG00000016481']	1	True	ENSMUSG00000016481	826	1	-	shared_acceptor	0.15294536682462806	0.1930395687397098	-0.04009420191508173	-0.3358801916718468	0.04009420191508173	0.3358801916718468
4	chr10	7630977	7638009	2	4	['ENSMUSG00000019795']	1	['ENSMUSG00000019795']	['ENSMUSG00000019795']	1	['ENSMUSG00000019795']	1	True	ENSMUSG00000019795	843	1	-	shared_acceptor	0.46713978306020876	0.39352737957298856	0.0736124034872202	0.24739029975195326	0.0736124034872202	0.24739029975195326
5	chr10	7630977	7638056	2	4	['ENSMUSG00000019795']	3	['ENSMUSG00000019795']	['ENSMUSG00000019795']	1	['ENSMUSG00000019795']	1	True	ENSMUSG00000019795	843	1	-	shared_acceptor	0.5328602169397912	0.6064726204270113	-0.07361240348722009	-0.18668538887314357	0.07361240348722009	0.18668538887314357
6	chr10	75915194	75916773	3	4	['ENSMUSG00000000902']	2	['ENSMUSG00000000902']	['ENSMUSG00000000902']	1	['ENSMUSG00000000902']	1	True	ENSMUSG00000000902	1086	1	-	shared_acceptor	0.464650956569767	0.3173007014070414	0.1473502551627256	0.5502966660663358	0.1473502551627256	0.5502966660663358
7	chr10	75915194	75916800	3	4	['ENSMUSG00000000902']	2	['ENSMUSG00000000902']	['ENSMUSG00000000902']	1	['ENSMUSG00000000902']	1	True	ENSMUSG00000000902	1086	1	-	shared_acceptor	0.535349043430233	0.6826992985929585	-0.14735025516272549	-0.3507704447875284	0.14735025516272549	0.3507704447875284
8	chr10	81420799	81427076	4	10	['ENSMUSG00000055053']	6	['ENSMUSG00000055053']	['ENSMUSG00000055053']	1	['ENSMUSG00000055053']	1	True	ENSMUSG00000055053	1212	1	-	shared_acceptor	0.7481451672979981	0.8097632055124944	-0.061618038214496296	-0.11418185790738289	0.061618038214496296	0.11418185790738289
9	chr10	81420799	81430786	4	10	['ENSMUSG00000055053']	3	['ENSMUSG00000055053']	['ENSMUSG00000055053']	1	['ENSMUSG00000055053']	1	True	ENSMUSG00000055053	1212	1	-	shared_acceptor	0.25185483270200193	0.1902367944875056	0.06161803821449632	0.4047961016584012	0.06161803821449632	0.4047961016584012
10	chr10	127096743	127096915	5	4	['ENSMUSG00000040462']	2	['ENSMUSG00000040462']	['ENSMUSG00000040462']	1	['ENSMUSG00000040462']	1	True	ENSMUSG00000040462	1376	1	-	shared_acceptor	0.39823478324493033	0.29909522401584104	0.09913955922908929	0.41301436195214514	0.09913955922908929	0.41301436195214514
11	chr10	127096743	127097932	5	4	['ENSMUSG00000040462']	4	['ENSMUSG00000040462']	['ENSMUSG00000040462']	1	['ENSMUSG00000040462']	1	True	ENSMUSG00000040462	1376	1	-	shared_acceptor	0.6017652167550696	0.700904775984159	-0.09913955922908946	-0.22001773613460718	0.09913955922908946	0.22001773613460718
12	chr10	128491034	128491720	6	11	['ENSMUSG00000090841']	1	['ENSMUSG00000090841']	['ENSMUSG00000090841']	1	['ENSMUSG00000090841']	1	True	ENSMUSG00000090841	1417	1	-	shared_acceptor	0.6263762815959708	0.3345594778844014	0.29181680371156943	0.9047668669092204	0.29181680371156943	0.9047668669092204
13	chr10	128491034	128492059	6	11	['ENSMUSG00000090841']	14	['ENSMUSG00000090841']	['ENSMUSG00000090841']	1	['ENSMUSG00000090841']	1	True	ENSMUSG00000090841	1417	1	-	shared_acceptor	0.37362371840402914	0.6654405221155986	-0.29181680371156943	-0.8327236771556881	0.29181680371156943	0.8327236771556881
14	chr11	3931588	3931976	7	4	['ENSMUSG00000020432']	2	['ENSMUSG00000020432']	['ENSMUSG00000020432']	1	['ENSMUSG00000020432']	1	True	ENSMUSG00000020432	1462	1	-	shared_acceptor	0.6306540033430302	0.551883410848726	0.07877059249430418	0.19248519398741504	0.07877059249430418	0.19248519398741504
15	chr11	3931588	3932013	7	4	['ENSMUSG00000020432']	2	['ENSMUSG00000020432']	['ENSMUSG00000020432']	1	['ENSMUSG00000020432']	1	True	ENSMUSG00000020432	1462	1	-	shared_acceptor	0.36934599665696966	0.44811658915127395	-0.07877059249430429	-0.2789011946033373	0.07877059249430429	0.2789011946033373
16	chr11	40687796	40692478	8	8	['ENSMUSG00000042032']	5	['ENSMUSG00000042032']	['ENSMUSG00000042032']	1	['ENSMUSG00000042032']	1	True	ENSMUSG00000042032	1612	1	-	shared_acceptor	0.8553006316448132	0.6498683722973365	0.20543225934747666	0.3962840680917248	0.20543225934747666	0.3962840680917248
17	chr11	40687796	40694803	8	8	['ENSMUSG00000042032']	3	['ENSMUSG00000042032']	['ENSMUSG00000042032']	1	['ENSMUSG00000042032']	1	True	ENSMUSG00000042032	1612	1	-	shared_acceptor	0.14469936835518687	0.3501316277026634	-0.2054322593474765	-1.2748387575347337	0.2054322593474765	1.2748387575347337
18	chr11	50200948	50202399	9	6	['ENSMUSG00000015837']	4	['ENSMUSG00000015837']	['ENSMUSG00000015837']	1	['ENSMUSG00000015837']	1	True	ENSMUSG00000015837	1652	1	-	shared_acceptor	0.8087712810691379	0.7969956235253018	0.011775657543836027	0.021159966893527504	0.011775657543836027	0.021159966893527504
19	chr11	50200948	50202513	9	6	['ENSMUSG00000015837']	2	['ENSMUSG00000015837']	['ENSMUSG00000015837']	1	['ENSMUSG00000015837']	1	True	ENSMUSG00000015837	1652	1	-	shared_acceptor	0.1912287189308621	0.20300437647469813	-0.011775657543836027	-0.0862116246296809	0.011775657543836027	0.0862116246296809
20	chr11	51601479	51601750	10	4	['ENSMUSG00000020358']	2	['ENSMUSG00000020358']	['ENSMUSG00000020358']	1	['ENSMUSG00000020358']	1	True	ENSMUSG00000020358	1672	1	-	shared_acceptor	0.3749858882676156	0.43100820473031215	-0.056022316462696564	-0.20087902829629245	0.056022316462696564	0.20087902829629245
21	chr11	51601479	51602593	10	4	['ENSMUSG00000020358']	6	['ENSMUSG00000020358']	['ENSMUSG00000020358']	1	['ENSMUSG00000020358']	1	True	ENSMUSG00000020358	1672	1	-	shared_acceptor	0.6250141117323844	0.5689917952696879	0.05602231646269651	0.13548091410938223	0.05602231646269651	0.13548091410938223
22	chr11	54986216	54987051	11	4	['ENSMUSG00000018340']	2	['ENSMUSG00000018340']	['ENSMUSG00000018340']	1	['ENSMUSG00000018340']	1	True	ENSMUSG00000018340	1724	1	-	shared_acceptor	0.6971636897610428	0.6096370898738112	0.08752659988723166	0.19354675351144035	0.08752659988723166	0.19354675351144035
23	chr11	54986216	54991391	11	4	['ENSMUSG00000018340']	4	['ENSMUSG00000018340']	['ENSMUSG00000018340']	1	['ENSMUSG00000018340']	1	True	ENSMUSG00000018340	1724	1	-	shared_acceptor	0.30283631023895713	0.39036291012618884	-0.08752659988723172	-0.36627778675015166	0.08752659988723172	0.36627778675015166
24	chr11	55409998	55419788	12	9	['ENSMUSG00000018593']	8	['ENSMUSG00000018593']	['ENSMUSG00000018593']	1	['ENSMUSG00000018593']	1	True	ENSMUSG00000018593	1729	1	-	shared_acceptor	0.9985591028601474	0.9969638278912765	0.0015952749688709078	0.0023066593111549507	0.0015952749688709078	0.0023066593111549507
25	chr11	55409998	55419796	12	9	['ENSMUSG00000018593']	0	[]	['ENSMUSG00000018593']	1	['ENSMUSG00000018593']	1	False	ENSMUSG00000018593	1729	1	-	shared_acceptor	0.0014408971398526538	0.003036172108723523	-0.0015952749688708692	-1.0752856970371543	0.0015952749688708692	1.0752856970371543
26	chr11	116807969	116810788	13	2	['ENSMUSG00000020814']	1	['ENSMUSG00000020814']	['ENSMUSG00000020814']	1	['ENSMUSG00000020814']	1	True	ENSMUSG00000020814	2410	1	-	shared_acceptor	0.5381581236254005	0.15327796730969862	0.3848801563157019	1.8118797923068628	0.3848801563157019	1.8118797923068628
