	chromosome	start	end	cluster	left_exon_count	left_genes	right_exon_count	right_genes	genes	n_genes	genes_cluster	n_genes_cluster	annotated	gene_id	original_cluster	n_start	strand	cluster_type	psi_a	psi_b	delta_psi	lfc_psi	abs_delta_psi	abs_lfc_psi
0	chr1	10035164	10037662	19	7	['ENSMUSG00000025917']	1	['ENSMUSG00000025917']	['ENSMUSG00000025917']	1	['ENSMUSG00000025917']	1	True	ENSMUSG00000025917	19	1	-	shared_acceptor	0.030646784842412504	0.10261040034142424	-0.07196361549901173	-1.7433692997419357	0.07196361549901173	1.7433692997419357
1	chr1	10035164	10037670	19	7	['ENSMUSG00000025917']	4	['ENSMUSG00000025917']	['ENSMUSG00000025917']	1	['ENSMUSG00000025917']	1	True	ENSMUSG00000025917	19	1	-	shared_acceptor	0.9693532151575875	0.8973895996585758	0.07196361549901176	0.11128798993809427	0.07196361549901176	0.11128798993809427
2	chr1	13579567	13579690	29	5	['ENSMUSG00000025935']	3	['ENSMUSG00000025935']	['ENSMUSG00000025935']	1	['ENSMUSG00000025935']	1	True	ENSMUSG00000025935	29	1	-	shared_acceptor	0.9672049386618601	0.983686327228129	-0.016481388566268906	-0.024376738615986965	0.016481388566268906	0.024376738615986965
3	chr1	13579567	13581023	29	5	['ENSMUSG00000025935']	4	['ENSMUSG00000025935']	['ENSMUSG00000025935']	1	['ENSMUSG00000025935']	1	True	ENSMUSG00000025935	29	1	-	shared_acceptor	0.03279506133813984	0.016313672771870968	0.016481388566268875	1.0073969097942879	0.016481388566268875	1.0073969097942879
4	chr1	16648008	16656822	42	10	['ENSMUSG00000079658']	5	['ENSMUSG00000079658']	['ENSMUSG00000079658']	1	['ENSMUSG00000079658']	1	True	ENSMUSG00000079658	42	1	-	shared_acceptor	0.6179353758974694	0.7645466596760506	-0.14661128377858124	-0.3071485823704349	0.14661128377858124	0.3071485823704349
5	chr1	16648008	16656862	42	10	['ENSMUSG00000079658']	0	[]	['ENSMUSG00000079658']	1	['ENSMUSG00000079658']	1	False	ENSMUSG00000079658	42	1	-	shared_acceptor	0.0464252049694645	0.04573156395216231	0.0006936410173021892	0.021718021234864437	0.0006936410173021892	0.021718021234864437
6	chr1	16648008	16656912	42	10	['ENSMUSG00000079658']	1	['ENSMUSG00000079658']	['ENSMUSG00000079658']	1	['ENSMUSG00000079658']	1	True	ENSMUSG00000079658	42	1	-	shared_acceptor	0.06104693251233243	0.03761445394961306	0.02343247856271937	0.698631642876796	0.02343247856271937	0.698631642876796
7	chr1	16648008	16656992	42	10	['ENSMUSG00000079658']	3	['ENSMUSG00000079658']	['ENSMUSG00000079658']	1	['ENSMUSG00000079658']	1	True	ENSMUSG00000079658	42	1	-	shared_acceptor	0.2745924866207337	0.15210732242217403	0.12248516419855968	0.852202541036837	0.12248516419855968	0.852202541036837
8	chr1	37496014	37498573	87	6	['ENSMUSG00000026110']	4	['ENSMUSG00000026110']	['ENSMUSG00000026110']	1	['ENSMUSG00000026110']	1	True	ENSMUSG00000026110	87	1	-	shared_acceptor	0.6800604253251132	0.7133718073539664	-0.0333113820288532	-0.06899126147274154	0.0333113820288532	0.06899126147274154
9	chr1	37496014	37498600	87	6	['ENSMUSG00000026110']	2	['ENSMUSG00000026110']	['ENSMUSG00000026110']	1	['ENSMUSG00000026110']	1	True	ENSMUSG00000026110	87	1	-	shared_acceptor	0.31993957467488676	0.2866281926460335	0.033311382028853254	0.15861893645429515	0.033311382028853254	0.15861893645429515
10	chr1	37995842	37996893	95	6	['ENSMUSG00000058407']	1	['ENSMUSG00000058407']	['ENSMUSG00000058407']	1	['ENSMUSG00000058407']	1	True	ENSMUSG00000058407	95	1	-	shared_acceptor	0.22465280417980024	0.16692336036905392	0.05772944381074632	0.4285111986783794	0.05772944381074632	0.4285111986783794
11	chr1	37995842	37997109	95	6	['ENSMUSG00000058407']	2	['ENSMUSG00000058407']	['ENSMUSG00000058407']	1	['ENSMUSG00000058407']	1	True	ENSMUSG00000058407	95	1	-	shared_acceptor	0.596286084718334	0.6273615187423184	-0.031075434023984383	-0.07329236980882481	0.031075434023984383	0.07329236980882481
12	chr1	37995842	37997164	95	6	['ENSMUSG00000058407']	2	['ENSMUSG00000058407']	['ENSMUSG00000058407']	1	['ENSMUSG00000058407']	1	True	ENSMUSG00000058407	95	1	-	shared_acceptor	0.17906111110186573	0.20571512088862776	-0.026654009786762023	-0.2001957970402115	0.026654009786762023	0.2001957970402115
13	chr1	55086942	55087779	165	3	['ENSMUSG00000025980']	1	['ENSMUSG00000025980']	['ENSMUSG00000025980']	1	['ENSMUSG00000025980']	1	True	ENSMUSG00000025980	165	1	-	shared_acceptor	0.7543560108171589	0.744141754937495	0.010214255879663847	0.019668076725118888	0.010214255879663847	0.019668076725118888
